year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2002,WEST BERKSHIRE,44.761904761904766,6.37,5107,143913,10920,NA,0,0,0,NA
2002,WINDSOR AND MAIDENHEAD,36.62599469496021,5.97,5504,133631,9425,NA,0,0,0,NA
2002,WOKINGHAM,34.76923076923077,6.5,4496,149445,9425,NA,0,0,0,NA
2002,YORK,55.69392421073114,6.43,8421,182088,20557,2022,2022,0,0,-20
2002,CAMDEN,28.407686155349488,6.19,5680,203972,29882.300000000003,2017,2017,0,0,-15
2002,GREENWICH,32.70579683808831,6.49,8108,221476,27515,NA,0,0,0,NA
2002,HAMMERSMITH AND FULHAM,21.385383806519453,7.39,4579,171989,15216,NA,0,0,0,NA
2002,ISLINGTON,12.990420658059143,6.36,4212,180118,24010,NA,0,0,0,NA
2002,KENSINGTON AND CHELSEA,33.967431532198376,8.55,5481,163827,13510,2016,2016,0,0,-14
2002,LAMBETH,11.043566362715298,6.67,6085,273041,25662,2004,2004,0,0,-2
2002,LEWISHAM,2.7943368107302535,6.2,7596,253662,24156,2003,2003,0,0,-1
2002,SOUTHWARK,0,6.78,6558,256269,25830,2002,2002,1,1,0
2002,TOWER HAMLETS,16.326128892563286,6.1,3998,207031,25401,2004,2004,0,0,-2
2002,WANDSWORTH,0,6.08,8083,274917,26557,NA,0,0,0,NA
2002,WESTMINSTER,33.31639910587279,7.18,6380,208100,19684,2016,2016,0,0,-14
2002,BARKING AND DAGENHAM,88.42925659472422,6,6449,166357,15012,NA,0,0,0,NA
2002,BARNET,0.7976708956637001,6.44,13546,320552,42248,NA,0,0,0,NA
2002,BEXLEY,0,6.06,9288,219123,25676,2002,2002,1,1,0
2002,BRENT,25.60434139121855,7.35,7093,269871,16216,NA,0,0,0,NA
2002,CROYDON,25.976354803060946,6.04,11558,335415,47959,NA,0,0,0,NA
2002,EALING,37.7666999002991,6.45,8986,309242,25075,NA,0,0,0,NA
2002,ENFIELD,20.9204097714736,6.15,10576,280745,31725,NA,0,0,0,NA
2002,HARINGEY,13.229124122823302,6.63,5095,224474,26933,2014,2014,0,0,-12
2002,HARROW,3.0927277642606112,7.28,8619,212336,18495,NA,0,0,0,NA
2002,HAVERING,31.028457314028955,5.87,10013,225054,20030,2011,2011,0,0,-9
2002,HILLINGDON,4.810126582278481,6.5,9169,247063,20540,NA,0,0,0,NA
2002,HOUNSLOW,42.017348493728754,5.87,6298,216888,17062,NA,0,0,0,NA
2002,KINGSTON UPON THAMES,40.41095890410959,5.7,6127,149642,14454,NA,0,0,0,NA
2002,NEWHAM,20.3190084323885,6.41,5460,255282,19686,2012,2012,0,0,-10
2002,REDBRIDGE,8.170515097690942,6.27,9563,244273,26461,2011,2011,0,0,-9
2002,RICHMOND UPON THAMES,4.0956439393939394,6.5,7398,175441,16896,NA,0,0,0,NA
2002,SUTTON,34.7058478503138,5.88,7593,181265,17049,2013,2013,0,0,-11
2002,WALTHAM FOREST,34.2685370741483,6.06,7268,223776,25948,NA,0,0,0,NA
2003,BARNSLEY,18.61111111111111,5.79,9008,220165,46800,2012,2012,0,0,-9
2003,BIRMINGHAM,31.02391090730429,6.49,38776,996356,152650,NA,0,0,0,NA
2003,BOLTON,24.372240739576128,5.71,10481,263814,47703,2016,2016,0,0,-13
2003,BRADFORD,26.51870180832052,6.07,17951,479166,80019,NA,0,0,0,NA
2003,BURY,31.911532385466035,5.91,7055,181405,32916,NA,0,0,0,NA
2003,CALDERDALE,13.429051377135432,6.16,8477,193968,31551,NA,0,0,0,NA
2003,DUDLEY,23.45563122890411,5.83,12798,305585,50069,2018,2018,0,0,-15
2003,GATESHEAD,24.48369428671926,5.92,8062,192115,39802,NA,0,0,0,NA
2003,KIRKLEES,24.222882905517636,5.84,15500,394486,71643,NA,0,0,0,NA
2003,KNOWSLEY,0,5.56,4563,149795,24405.57,2002,2002,1,1,1
2003,LEEDS,37.97841496407342,6.51,29818,717592,103127,NA,0,0,0,NA
2003,LIVERPOOL,5.896587147585892,5.54,16007,444960,87610,NA,0,0,0,NA
2003,MANCHESTER,1.873693819212568,6.24,14744,436727,83258,NA,0,0,0,NA
2003,NEWCASTLE UPON TYNE,8.839967652080151,5.98,11427,266862,55645,2015,2015,0,0,-12
2003,NORTH TYNESIDE,16.2574892578322,5.92,8999,193037,49571,2015,2015,0,0,-12
2003,OLDHAM,9.53792502179599,5.85,8457,218490,45880,2015,2015,0,0,-12
2003,ROTHERHAM,23.854166666666668,6.01,10176,250886,49920,NA,0,0,0,NA
2003,SALFORD,22.413560541342566,5.7,9235,217312,44482,2015,2015,0,0,-12
2003,SANDWELL,32.95128939828081,5.76,12193,287135,45370,NA,0,0,0,NA
2003,SEFTON,10.379388151335467,6.01,14005,279913,57171,2008,2008,0,0,-5
2003,SHEFFIELD,20.629463104998678,6.32,23913,515339,98306,2014,2014,0,0,-11
2003,SOLIHULL,9.26738957947633,6.52,8722,200536,18905,NA,0,0,0,NA
2003,SOUTH TYNESIDE,27.080319756376092,6.04,6935,151181,39405,2017,2017,0,0,-14
2003,ST HELENS,42.36542651924784,5.97,6647,175997,24782,NA,0,0,0,NA
2003,STOCKPORT,0,6.39,12528,282932,51060,NA,0,0,0,NA
2003,SUNDERLAND,15.880297072957623,5.63,9943,281528,64092,2015,2015,0,0,-12
2003,TRAFFORD,42.259293650539526,6.38,9466,213031,31231,2015,2015,0,0,-12
2003,WAKEFIELD,22.180538254294735,6.28,12521,317469,69038,NA,0,0,0,NA
2003,WALSALL,34.673744174003104,6.51,10021,255352,38620,NA,0,0,0,NA
