"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"967","SC007956","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Voluntary",6,2017-01-31,"Leave"
"968","SC008596","Children's home","North West","North West","Stockport","Voluntary",8,2016-07-13,"Leave"
"969","SC010087","Children's home","North West","North West","Lancashire","Private",4,2016-04-05,"Leave"
"970","SC026644","Residential special school (registered as a children's home)","South West","South West","Bristol","Voluntary",48,2016-04-14,"Leave"
"971","SC031015","Children's home","North West","North West","Manchester","Local Authority",6,2016-11-30,"Leave"
"972","SC032240","Children's home","North West","North West","Liverpool","Local Authority",6,2016-08-08,"Leave"
"973","SC032300","Children's home","East Midlands","East Midlands","Leicestershire","Local Authority",7,2016-06-22,"Leave"
"974","SC032715","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Local Authority",6,2017-03-31,"Leave"
"975","SC032723","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Local Authority",7,2017-03-31,"Leave"
"976","SC032725","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Local Authority",6,2017-03-31,"Leave"
"977","SC033408","Children's home","East of England","East of England","Cambridgeshire","Local Authority",7,2016-11-30,"Leave"
"978","SC033539","Children's home","North West","North West","Manchester","Local Authority",6,2016-10-28,"Leave"
"979","SC033629","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Local Authority",6,2016-09-01,"Leave"
"980","SC033664","Children's home","West Midlands","West Midlands","Birmingham","Local Authority",8,2016-10-01,"Leave"
"981","SC033672","Children's home","West Midlands","West Midlands","Birmingham","Local Authority",5,2016-10-01,"Leave"
"982","SC033696","Children's home","West Midlands","West Midlands","Birmingham","Local Authority",6,2016-10-01,"Leave"
"983","SC033699","Children's home","West Midlands","West Midlands","Birmingham","Local Authority",5,2016-10-01,"Leave"
"984","SC034168","Children's home","North West","North West","Westmorland and Furness","Local Authority",7,2017-02-01,"Leave"
"985","SC034197","Children's home","North West","North West","Lancashire","Private",5,2016-11-15,"Leave"
"986","SC034609","Children's home","London","London","Islington","Local Authority",6,2016-07-25,"Leave"
"987","SC034627","Children's home","London","London","Merton","Local Authority",7,2017-01-27,"Leave"
"988","SC034825","Children's home","North West","North West","Rochdale","Local Authority",5,2016-05-01,"Leave"
"989","SC035450","Children's home","North West","North West","Lancashire","Local Authority",6,2017-01-10,"Leave"
"990","SC035678","Children's home","London","London","Ealing","Local Authority",9,2016-07-24,"Leave"
"991","SC036347","Children's home","South West","South West","Gloucestershire","Local Authority",6,2016-12-09,"Leave"
"992","SC036774","Children's home","North East, Yorkshire and the Humber","North East","Gateshead","Local Authority",5,2016-09-06,"Leave"
"993","SC037330","Children's home","South East","South East","Portsmouth","Local Authority",6,2016-07-04,"Leave"
"994","SC037369","Children's home","South East","South East","Kent","Voluntary",9,2016-06-10,"Leave"
"995","SC037371","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Local Authority",5,2016-10-10,"Leave"
"996","SC037941","Children's home","North West","North West","Westmorland and Furness","Local Authority",7,2017-02-01,"Leave"
"997","SC041018","Children's home","North West","North West","Wigan","Local Authority",6,2016-07-31,"Leave"
"998","SC042037","Children's home","North West","North West","Manchester","Local Authority",5,2017-03-08,"Leave"
"999","SC043539","Children's home","West Midlands","West Midlands","Dudley","Local Authority",6,2016-11-30,"Leave"
"1000","SC049382","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-05-17,"Leave"
"1001","SC050176","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2017-01-12,"Leave"
"1002","SC055357","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Local Authority",6,2017-03-31,"Leave"
"1003","SC059488","Children's home","North West","North West","Liverpool","Private",2,2016-12-02,"Leave"
"1004","SC059494","Children's home","North West","North West","Liverpool","Private",6,2016-12-02,"Leave"
"1005","SC061431","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-05-27,"Leave"
"1006","SC062199","Children's home","East Midlands","East Midlands","Leicestershire","Private",2,2016-08-31,"Leave"
"1007","SC062464","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2016-10-06,"Leave"
"1008","SC062475","Children's home","North West","North West","Rochdale","Private",1,2016-08-23,"Leave"
"1009","SC062537","Children's home","North West","North West","Halton","Local Authority",4,2016-10-28,"Leave"
"1010","SC062644","Children's home","North East, Yorkshire and the Humber","North East","Sunderland","Local Authority",6,2017-03-31,"Leave"
"1011","SC062782","Children's home","North West","North West","Blackpool","Private",3,2016-09-18,"Leave"
"1012","SC063059","Children's home","North West","North West","Warrington","Private",4,2016-12-16,"Leave"
"1013","SC063080","Children's home","London","London","Croydon","Private",5,2017-01-04,"Leave"
"1014","SC064549","Children's home","East of England","East of England","Luton","Voluntary",6,2016-10-03,"Leave"
"1015","SC064569","Children's home","London","London","Harrow","Private",5,2017-03-28,"Leave"
"1016","SC066549","Children's home","North West","North West","Trafford","Local Authority",2,2016-04-30,"Leave"
"1017","SC068392","Children's home","London","London","Ealing","Private",4,2016-08-31,"Leave"
"1018","SC068770","Children's home","East of England","East of England","Suffolk","Private",4,2017-01-30,"Leave"
"1019","SC356312","Children's home","West Midlands","West Midlands","Herefordshire","Private",3,2017-03-30,"Leave"
"1020","SC357166","Children's home","West Midlands","West Midlands","Birmingham","Local Authority",6,2016-10-01,"Leave"
"1021","SC358266","Children's home","South West","South West","Wiltshire","Private",2,2016-09-08,"Leave"
"1022","SC360834","Children's home","South West","South West","Devon","Private",4,2016-10-06,"Leave"
"1023","SC362233","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2017-01-31,"Leave"
"1024","SC362610","Children's home","South West","South West","Devon","Private",1,2016-12-31,"Leave"
"1025","SC363364","Children's home","South West","South West","Somerset","Private",4,2016-07-11,"Leave"
"1026","SC365647","Children's home","East of England","East of England","Hertfordshire","Voluntary",3,2016-09-30,"Leave"
"1027","SC368399","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-07-26,"Leave"
"1028","SC368821","Children's home","London","London","Sutton","Private",6,2016-10-31,"Leave"
"1029","SC369339","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Local Authority",5,2016-10-10,"Leave"
"1030","SC378200","Children's home","South West","South West","Somerset","Private",3,2016-09-21,"Leave"
"1031","SC382715","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2016-09-26,"Leave"
"1032","SC383879","Children's home","South West","South West","Wiltshire","Private",1,2016-09-08,"Leave"
"1033","SC384466","Children's home","London","London","Waltham Forest","Private",3,2016-05-31,"Leave"
"1034","SC384670","Children's home","South West","South West","Bournemouth, Christchurch & Poole","Private",5,2016-05-05,"Leave"
"1035","SC387672","Children's home","North West","North West","Manchester","Private",5,2016-11-30,"Leave"
"1036","SC392602","Children's home","North West","North West","Westmorland and Furness","Private",3,2017-02-15,"Leave"
"1037","SC393048","Residential special school (registered as a children's home)","East of England","East of England","Cambridgeshire","Voluntary",33,2016-05-12,"Leave"
"1038","SC394224","Children's home","North West","North West","Cheshire East","Local Authority",4,2017-03-30,"Leave"
"1039","SC396201","Children's home","North West","North West","Lancashire","Private",3,2016-08-18,"Leave"
"1040","SC398947","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",6,2016-07-31,"Leave"
"1041","SC399206","Residential special school (registered as a children's home)","East of England","East of England","Norfolk","Private",26,2016-07-30,"Leave"
"1042","SC402658","Residential special school (registered as a children's home)","North West","North West","Lancashire","Private",36,2017-01-03,"Leave"
"1043","SC403411","Children's home","London","London","Hounslow","Private",4,2016-10-11,"Leave"
"1044","SC403956","Children's home","North West","North West","Lancashire","Private",2,2016-06-28,"Leave"
"1045","SC404993","Residential special school (registered as a children's home)","South West","South West","Bournemouth, Christchurch & Poole","Voluntary",36,2016-12-17,"Leave"
"1046","SC407245","Children's home","North West","North West","Blackpool","Private",1,2016-08-18,"Leave"
"1047","SC408622","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2016-11-14,"Leave"
"1048","SC413156","Children's home","North West","North West","Rochdale","Private",2,2016-09-13,"Leave"
"1049","SC417395","Children's home","South East","South East","West Sussex","Private",2,2016-05-16,"Leave"
"1050","SC418700","Children's home","South East","South East","West Sussex","Private",5,2017-03-28,"Leave"
"1051","SC425921","Children's home","East of England","East of England","Luton","Voluntary",6,2016-04-29,"Leave"
"1052","SC426684","Children's home","North West","North West","Manchester","Private",3,2016-06-30,"Leave"
"1053","SC427338","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",2,2016-06-03,"Leave"
"1054","SC430759","Residential special school (registered as a children's home)","South East","South East","Oxfordshire","Voluntary",8,2016-10-31,"Leave"
"1055","SC431603","Children's home","North West","North West","Liverpool","Private",3,2016-11-30,"Leave"
"1056","SC432140","Residential special school (registered as a children's home)","South West","South West","Devon","Local Authority",25,2016-04-11,"Leave"
"1057","SC434100","Children's home","London","London","Enfield","Private",3,2016-11-07,"Leave"
"1058","SC434837","Children's home","South East","South East","Reading","Private",3,2016-08-09,"Leave"
"1059","SC434999","Children's home","North West","North West","Blackpool","Private",2,2016-12-21,"Leave"
"1060","SC435001","Children's home","North West","North West","Blackpool","Private",1,2016-10-19,"Leave"
"1061","SC436992","Children's home","North West","North West","Wirral","Private",3,2016-12-02,"Leave"
"1062","SC441973","Children's home","North West","North West","Cumberland","Health Authority",5,2017-01-17,"Leave"
"1063","SC443081","Children's home","South West","South West","Somerset","Private",2,2016-04-01,"Leave"
"1064","SC443758","Children's home","East of England","East of England","Norfolk","Private",8,2017-01-26,"Leave"
"1065","SC444376","Children's home","South West","South West","Devon","Voluntary",5,2016-07-25,"Leave"
"1066","SC449331","Residential special school (registered as a children's home)","South West","South West","South Gloucestershire","Voluntary",6,2017-02-17,"Leave"
"1067","SC450991","Children's home","East of England","East of England","Norfolk","Voluntary",8,2016-06-30,"Leave"
"1068","SC451511","Children's home","South East","South East","Southampton","Private",7,2016-10-08,"Leave"
"1069","SC454985","Children's home","South West","South West","Somerset","Private",3,2016-12-01,"Leave"
"1070","SC456724","Children's home","South East","South East","West Sussex","Private",4,2017-03-01,"Leave"
"1071","SC457015","Children's home","East of England","East of England","Essex","Private",2,2017-03-01,"Leave"
"1072","SC457364","Children's home","North West","North West","Wirral","Private",2,2017-03-03,"Leave"
"1073","SC457424","Children's home","North West","North West","Wirral","Private",1,2017-01-31,"Leave"
"1074","SC457428","Children's home","North West","North West","Sefton","Private",2,2017-03-10,"Leave"
"1075","SC457507","Children's home","North West","North West","Wirral","Private",3,2016-11-01,"Leave"
"1076","SC457554","Children's home","North West","North West","Sefton","Private",1,2017-01-31,"Leave"
"1077","SC457557","Children's home","North West","North West","Wirral","Private",2,2017-03-26,"Leave"
"1078","SC457560","Children's home","North West","North West","Wirral","Private",2,2017-02-07,"Leave"
"1079","SC457776","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-07-11,"Leave"
"1080","SC457855","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",3,2016-10-01,"Leave"
"1081","SC458348","Children's home","East Midlands","East Midlands","Leicester","Private",4,2017-01-27,"Leave"
"1082","SC459643","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","East Riding of Yorkshire","Private",1,2016-06-13,"Leave"
"1083","SC460910","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2016-06-13,"Leave"
"1084","SC462804","Children's home","North West","North West","Salford","Private",2,2017-03-31,"Leave"
"1085","SC463704","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2016-12-07,"Leave"
"1086","SC464402","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2016-08-31,"Leave"
"1087","SC466315","Children's home","South East","South East","Hampshire","Private",4,2016-05-05,"Leave"
"1088","SC468019","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",4,2017-02-06,"Leave"
"1089","SC469467","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",4,2016-11-14,"Leave"
"1090","SC469627","Children's home","North West","North West","Cheshire East","Voluntary",4,2017-03-31,"Leave"
"1091","SC469994","Children's home","South West","South West","Devon","Private",16,2016-07-01,"Leave"
"1092","SC472114","Children's home","North West","North West","Sefton","Private",2,2017-02-20,"Leave"
"1093","SC473335","Children's home","South East","South East","West Berkshire","Private",2,2016-12-19,"Leave"
"1094","SC473810","Children's home","North West","North West","Knowsley","Private",3,2016-04-29,"Leave"
"1095","SC475121","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Barnsley","Private",5,2016-10-13,"Leave"
"1096","SC475578","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",3,2016-09-19,"Leave"
"1097","SC475742","Children's home","North West","North West","Lancashire","Private",9,2016-06-30,"Leave"
"1098","SC476332","Children's home","East Midlands","East Midlands","Derbyshire","Private",6,2016-11-30,"Leave"
"1099","SC477839","Children's home","London","London","Barnet","Private",3,2016-06-08,"Leave"
"1100","SC478729","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2016-08-10,"Leave"
"1101","SC479081","Children's home","North West","North West","Lancashire","Private",2,2016-10-24,"Leave"
"1102","SC479102","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Lincolnshire","Private",4,2016-04-14,"Leave"
"1103","SC479504","Children's home","West Midlands","West Midlands","Worcestershire","Private",2,2017-01-01,"Leave"
"1104","SC480005","Children's home","East of England","East of England","Norfolk","Private",4,2016-07-25,"Leave"
"1105","SC480056","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",6,2016-10-26,"Leave"
"1106","SC480219","Children's home","North West","North West","Lancashire","Private",6,2017-01-17,"Leave"
"1107","SC480592","Children's home","North West","North West","Blackpool","Private",4,2016-07-08,"Leave"
"1108","SC480616","Children's home","South East","South East","Buckinghamshire","Private",5,2016-09-05,"Leave"
"1109","SC482302","Children's home","London","London","Croydon","Private",6,2016-12-31,"Leave"
"1110","SC482314","Children's home","South West","South West","Devon","Private",1,2016-10-07,"Leave"
"1111","SC482543","Children's home","West Midlands","West Midlands","Coventry","Private",6,2016-06-16,"Leave"
"1112","SC482559","Children's home","East Midlands","East Midlands","Leicestershire","Private",5,2017-02-27,"Leave"
"1113","SC484776","Children's home","West Midlands","West Midlands","Worcestershire","Private",2,2017-02-27,"Leave"
"1114","SC484917","Children's home","East of England","East of England","Peterborough","Private",5,2016-04-01,"Leave"
"1115","SC485654","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Private",4,2016-12-31,"Leave"
"1116","SC485826","Children's home","East of England","East of England","Suffolk","Private",3,2016-12-05,"Leave"
"1117","SC486528","Children's home","West Midlands","West Midlands","Birmingham","Private",6,2016-04-22,"Leave"
"1118","SC489400","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",4,2016-09-14,"Leave"
"1119","SC489547","Children's home","East of England","East of England","Norfolk","Private",3,2017-03-16,"Leave"
"1120","1229428","Children's home","North West","North West","Cheshire East","Private",3,2017-02-16,"Leave"
"1121","1244299","Children's home","North East, Yorkshire and The Humber","Yorkshire and The Humber","Barnsley","Private",4,2017-02-15,"Leave"
"1122","1234990","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Voluntary",14,2017-05-02,"Join"
"1123","1240843","Children's home","North West","North West","Blackpool","Private",2,2017-10-23,"Join"
"1124","1243962","Children's home","West Midlands","West Midlands","Staffordshire","Health Authority",6,2017-11-13,"Join"
"1125","1244108","Children's home","South East","South East","Kent","Private",3,2017-06-20,"Join"
"1126","1244386","Children's home","London","London","Croydon","Private",5,2017-06-08,"Join"
"1127","1247244","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",3,2017-05-02,"Join"
"1128","1248509","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",2,2017-04-24,"Join"
"1129","1249034","Children's home","West Midlands","West Midlands","Staffordshire","Private",1,2017-08-11,"Join"
"1130","1249123","Children's home","North West","North West","Westmorland and Furness","Private",6,2017-05-15,"Join"
"1131","1249183","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Bradford","Private",4,2017-04-24,"Join"
"1132","1249715","Children's home","South East","South East","Hampshire","Private",4,2017-04-11,"Join"
"1133","1250186","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",4,2017-05-17,"Join"
"1134","1250194","Children's home","South East","South East","West Sussex","Private",4,2017-07-05,"Join"
"1135","1250196","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",2,2017-05-04,"Join"
"1136","1250287","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2017-06-23,"Join"
"1137","1250521","Children's home","South East","South East","Kent","Private",4,2017-05-09,"Join"
"1138","1250842","Children's home","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Voluntary",3,2017-05-02,"Join"
"1139","1251364","Children's home","London","London","Camden","Private",6,2017-05-26,"Join"
"1140","1251947","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2017-04-10,"Join"
"1141","1252023","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2017-06-07,"Join"
"1142","1252120","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",6,2017-05-19,"Join"
"1143","1253008","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",2,2017-06-08,"Join"
"1144","1253583","Children's home","South West","South West","Devon","Private",4,2017-05-25,"Join"
"1145","1253623","Children's home","West Midlands","West Midlands","Birmingham","Private",2,2017-07-07,"Join"
"1146","1253711","Children's home","West Midlands","West Midlands","Birmingham","Private",3,2017-07-10,"Join"
"1147","1253862","Children's home","North East, Yorkshire and the Humber","North East","Middlesbrough","Health Authority",6,2017-08-21,"Join"
"1148","1253865","Children's home","North East, Yorkshire and the Humber","North East","Darlington","Health Authority",5,2017-08-21,"Join"
"1149","1253975","Children's home","North West","North West","Lancashire","Private",2,2017-06-26,"Join"
"1150","1254055","Children's home","North West","North West","Blackpool","Private",4,2017-08-21,"Join"
"1151","1254109","Children's home","East Midlands","East Midlands","Lincolnshire","Private",15,2017-05-18,"Join"
"1152","1254258","Children's home","North West","North West","Westmorland and Furness","Private",4,2017-05-16,"Join"
"1153","1254308","Children's home","East Midlands","East Midlands","Derbyshire","Private",5,2017-05-24,"Join"
"1154","1254316","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kingston upon Hull","Private",4,2017-09-06,"Join"
"1155","1254371","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",7,2017-08-01,"Join"
"1156","1254555","Children's home","North West","North West","Lancashire","Private",2,2017-04-10,"Join"
"1157","1254701","Children's home","London","London","Waltham Forest","Private",3,2017-05-04,"Join"
"1158","1254740","Children's home","South West","South West","Plymouth","Private",2,2017-04-07,"Join"
"1159","1254745","Children's home","East Midlands","East Midlands","Nottingham","Private",5,2017-05-24,"Join"
"1160","1254780","Children's home","West Midlands","West Midlands","Walsall","Private",4,2017-07-17,"Join"
"1161","1254782","Children's home","South East","South East","Hampshire","Local Authority",4,2017-06-09,"Join"
"1162","1254840","Children's home","West Midlands","West Midlands","Wolverhampton","Private",3,2018-01-05,"Join"
"1163","1254864","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",3,2017-05-24,"Join"
"1164","1255095","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2017-07-04,"Join"
"1165","1255139","Children's home","East Midlands","East Midlands","Nottingham","Private",6,2017-05-24,"Join"
"1166","1255147","Children's home","West Midlands","West Midlands","Shropshire","Private",8,2017-06-29,"Join"
"1167","1255407","Children's home","South West","South West","Devon","Private",4,2017-09-18,"Join"
"1168","1255520","Children's home","North West","North West","Lancashire","Private",3,2017-07-10,"Join"
"1169","1255743","Children's home","East Midlands","East Midlands","Derby","Private",5,2017-05-24,"Join"
"1170","1255744","Children's home","West Midlands","West Midlands","Worcestershire","Private",3,2017-05-24,"Join"
"1171","1255745","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",5,2017-05-24,"Join"
"1172","1255746","Children's home","East of England","East of England","Bedford","Private",5,2017-05-24,"Join"
"1173","1255747","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",5,2017-05-24,"Join"
"1174","1255748","Children's home","East Midlands","East Midlands","Nottingham","Private",5,2017-05-24,"Join"
"1175","1255800","Children's home","North West","North West","Manchester","Private",2,2017-11-02,"Join"
"1176","1255823","Children's home","South East","South East","Hampshire","Local Authority",5,2017-06-20,"Join"
"1177","1256058","Children's home","South East","South East","Oxfordshire","Private",5,2017-05-24,"Join"
"1178","1256059","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",5,2017-05-24,"Join"
"1179","1256060","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",5,2017-05-24,"Join"
"1180","1256061","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",5,2017-05-24,"Join"
"1181","1256134","Children's home","North West","North West","Oldham","Private",4,2017-06-07,"Join"
"1182","1256135","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2017-05-24,"Join"
"1183","1256364","Children's home","London","London","Newham","Private",7,2017-07-14,"Join"
"1184","1256367","Children's home","East Midlands","East Midlands","West Northamptonshire","Private",5,2017-05-24,"Join"
"1185","1256404","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",5,2017-05-24,"Join"
"1186","1256417","Children's home","South East","South East","Kent","Private",7,2017-08-04,"Join"
"1187","1256452","Children's home","East of England","East of England","Essex","Private",5,2017-07-13,"Join"
"1188","1256500","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Local Authority",6,2017-06-11,"Join"
"1189","1256608","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Private",3,2017-07-04,"Join"
"1190","1256610","Children's home","East Midlands","East Midlands","Nottingham","Private",3,2017-05-24,"Join"
"1191","1256638","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2017-10-24,"Join"
"1192","1256639","Children's home","South West","South West","Gloucestershire","Private",4,2017-08-03,"Join"
"1193","1256658","Children's home","North West","North West","Halton","Private",2,2017-07-04,"Join"
"1194","1256771","Children's home","South West","South West","Devon","Private",3,2017-06-23,"Join"
"1195","1256794","Children's home","East of England","East of England","Cambridgeshire","Voluntary",2,2017-07-06,"Join"
"1196","1256795","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Private",4,2017-06-30,"Join"
"1197","1256904","Children's home","North West","North West","Lancashire","Private",3,2017-04-23,"Join"
"1198","1256912","Children's home","South East","South East","Kent","Private",3,2017-09-26,"Join"
"1199","1256913","Children's home","South East","South East","Kent","Private",2,2018-03-23,"Join"
"1200","1256973","Children's home","South East","South East","Surrey","Private",6,2017-08-04,"Join"
"1201","1257013","Children's home","East Midlands","East Midlands","Nottingham","Private",6,2017-07-20,"Join"
"1202","1257022","Children's home","London","London","Havering","Private",6,2017-07-25,"Join"
"1203","1257065","Children's home","South East","South East","Hampshire","Local Authority",4,2017-06-22,"Join"
"1204","1257074","Children's home","West Midlands","West Midlands","Herefordshire","Private",8,2017-10-10,"Join"
"1205","1257101","Children's home","London","London","Bexley","Private",3,2017-08-01,"Join"
"1206","1257182","Children's home","London","London","Barnet","Private",2,2017-08-24,"Join"
"1207","1257202","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2017-12-19,"Join"
"1208","1257289","Children's home","London","London","Lewisham","Voluntary",5,2017-07-27,"Join"
"1209","1257573","Children's home","South East","South East","Hampshire","Local Authority",5,2017-06-22,"Join"
"1210","1257739","Children's home","North West","North West","Lancashire","Private",3,2017-08-10,"Join"
"1211","1257740","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2017-07-31,"Join"
"1212","1257796","Children's home","East of England","East of England","Cambridgeshire","Private",12,2017-05-31,"Join"
"1213","1258026","Children's home","West Midlands","West Midlands","Birmingham","Private",2,2017-09-24,"Join"
"1214","1258089","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Wakefield","Private",4,2018-02-02,"Join"
"1215","1258091","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2017-08-20,"Join"
"1216","1258092","Children's home","East of England","East of England","Essex","Private",4,2017-08-30,"Join"
"1217","1258095","Children's home","West Midlands","West Midlands","Staffordshire","Private",6,2017-08-03,"Join"
"1218","1258134","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",5,2017-08-14,"Join"
"1219","1258199","Children's home","South East","South East","Surrey","Private",5,2017-07-20,"Join"
"1220","1258276","Children's home","East of England","East of England","Suffolk","Private",6,2017-06-01,"Join"
"1221","1258343","Children's home","South West","South West","Wiltshire","Private",4,2017-09-19,"Join"
"1222","1258386","Children's home","South East","South East","Kent","Private",3,2017-09-04,"Join"
"1223","1258434","Children's home","West Midlands","West Midlands","Walsall","Private",4,2017-12-20,"Join"
"1224","1258463","Children's home","South East","South East","Kent","Private",1,2017-10-31,"Join"
"1225","1258627","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Voluntary",4,2017-07-10,"Join"
"1226","1258658","Children's home","East of England","East of England","Essex","Private",4,2017-09-15,"Join"
"1227","1258770","Children's home","North West","North West","Lancashire","Private",4,2017-08-21,"Join"
"1228","1258831","Children's home","South East","South East","Hampshire","Private",3,2017-08-04,"Join"
"1229","1258887","Children's home","West Midlands","West Midlands","Wolverhampton","Private",4,2018-01-12,"Join"
"1230","1258893","Children's home","West Midlands","West Midlands","Worcestershire","Private",2,2017-09-13,"Join"
"1231","1258894","Children's home","East Midlands","East Midlands","Leicester","Private",6,2017-08-03,"Join"
"1232","1258975","Children's home","North West","North West","Oldham","Private",3,2017-10-16,"Join"
"1233","1259061","Children's home","North West","North West","Lancashire","Private",2,2017-09-08,"Join"
"1234","1259114","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2018-01-25,"Join"
"1235","1259118","Children's home","West Midlands","West Midlands","Stoke-on-Trent","Local Authority",2,2017-06-15,"Join"
"1236","1259178","Children's home","West Midlands","West Midlands","Birmingham","Private",2,2018-02-15,"Join"
"1237","1259184","Children's home","East Midlands","East Midlands","Derbyshire","Private",4,2018-01-31,"Join"
"1238","1259216","Children's home","South West","South West","Devon","Private",1,2017-07-19,"Join"
"1239","1259419","Children's home","East Midlands","East Midlands","Leicestershire","Private",1,2017-11-10,"Join"
"1240","1259508","Children's home","South East","South East","Oxfordshire","Private",8,2017-09-21,"Join"
"1241","1259547","Children's home","East Midlands","East Midlands","North Northamptonshire","Private",3,2017-10-02,"Join"
"1242","1259551","Children's home","East of England","East of England","Peterborough","Private",5,2017-09-12,"Join"
"1243","1259631","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Bradford","Private",7,2017-10-13,"Join"
"1244","1259734","Children's home","South East","South East","Hampshire","Local Authority",4,2017-09-11,"Join"
"1245","1260700","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2017-10-10,"Join"
"1246","1261138","Children's home","North West","North West","Bury","Private",5,2017-08-29,"Join"
"1247","1262657","Children's home","North West","North West","Lancashire","Private",2,2017-09-18,"Join"
"1248","1262878","Children's home","North West","North West","Cumberland","Private",2,2017-08-07,"Join"
"1249","1262935","Children's home","North West","North West","Westmorland and Furness","Private",6,2017-08-18,"Join"
"1250","1263084","Children's home","South West","South West","South Gloucestershire","Private",6,2017-09-19,"Join"
"1251","1263120","Children's home","North West","North West","Wirral","Private",4,2017-09-22,"Join"
"1252","1263124","Children's home","South West","South West","Wiltshire","Private",5,2017-09-26,"Join"
"1253","1263126","Children's home","North West","North West","Cumberland","Private",2,2017-08-04,"Join"
"1254","1263129","Children's home","South East","South East","East Sussex","Private",6,2017-11-06,"Join"
"1255","1263199","Children's home","North West","North West","Wigan","Private",6,2017-09-28,"Join"
