"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"504","1220818","Children's home","West Midlands","West Midlands","Staffordshire","Private",5,2016-01-29,"Join"
"505","1220887","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2015-11-29,"Join"
"506","1221437","Children's home","South West","South West","Dorset","Private",5,2016-03-15,"Join"
"507","1221700","Children's home","North West","North West","Lancashire","Private",5,2016-02-02,"Join"
"508","1222089","Children's home","West Midlands","West Midlands","Stoke-on-Trent","Private",4,2016-02-17,"Join"
"509","1222092","Children's home","North West","North West","Lancashire","Private",2,2016-02-10,"Join"
"510","1223201","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Leeds","Local Authority",4,2015-12-10,"Join"
"511","1223501","Children's home","North West","North West","Lancashire","Private",4,2016-02-04,"Join"
"512","1224093","Children's home","East of England","East of England","Hertfordshire","Private",4,2015-11-04,"Join"
"513","1224251","Children's home","North West","North West","Wigan","Private",2,2016-01-06,"Join"
"514","1224663","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-12-30,"Join"
"515","1224674","Children's home","East Midlands","East Midlands","Rutland","Private",7,2016-02-11,"Join"
"516","1225887","Children's home","South East","South East","Kent","Private",2,2016-01-15,"Join"
"517","1226266","Children's home","South East","South East","West Sussex","Private",6,2016-01-11,"Join"
"518","1226495","Children's home","South East","South East","West Sussex","Private",5,2016-01-07,"Join"
"519","1226757","Children's home","East of England","East of England","Thurrock","Private",3,2016-03-17,"Join"
"520","1226969","Children's home","East of England","East of England","Cambridgeshire","Voluntary",4,2016-01-25,"Join"
"521","1226975","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-01-28,"Join"
"522","1227060","Residential special school (registered as a children's home)","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",6,2015-12-09,"Join"
"523","1227596","Children's home","West Midlands","West Midlands","Staffordshire","Private",3,2016-02-23,"Join"
"524","1227788","Children's home","South West","South West","Somerset","Private",2,2016-02-26,"Join"
"525","1228522","Children's home","North West","North West","Lancashire","Private",5,2016-01-08,"Join"
"526","1228919","Children's home","South East","South East","East Sussex","Private",2,2016-03-29,"Join"
"527","1229762","Children's home","East Midlands","East Midlands","Leicestershire","Private",3,2016-02-29,"Join"
"528","1229766","Residential special school (registered as a children's home)","East of England","East of England","Cambridgeshire","Private",29,2016-01-14,"Join"
"529","1231066","Children's home","South West","South West","Devon","Private",1,2016-02-17,"Join"
"530","1231067","Children's home","South West","South West","Devon","Private",1,2016-03-08,"Join"
"531","1231405","Children's home","North West","North West","Lancashire","Local Authority",6,2016-02-04,"Join"
"532","1232380","Children's home","North West","North West","Bolton","Voluntary",6,2016-03-17,"Join"
"533","SC476587","Children's home","South East","South East","East Sussex","Private",2,2015-08-24,"Join"
"534","SC477151","Children's home","London","London","Lewisham","Voluntary",5,2015-05-20,"Join"
"535","SC479230","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2015-04-19,"Join"
"536","SC479645","Children's home","East of England","East of England","Suffolk","Private",6,2015-12-09,"Join"
"537","SC482415","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Leeds","Private",4,2015-10-09,"Join"
"538","SC482418","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",4,2015-04-13,"Join"
"539","SC483623","Children's home","London","London","Haringey","Private",5,2015-06-29,"Join"
"540","SC483846","Children's home","North West","North West","Lancashire","Private",5,2015-10-12,"Join"
"541","SC483856","Children's home","North West","North West","Lancashire","Private",5,2015-10-12,"Join"
"542","SC484302","Children's home","South East","South East","East Sussex","Private",2,2015-04-06,"Join"
"543","SC484358","Children's home","North West","North West","Lancashire","Private",3,2015-07-12,"Join"
"544","SC485331","Children's home","South West","South West","South Gloucestershire","Private",4,2015-07-01,"Join"
"545","SC485956","Children's home","North West","North West","Lancashire","Private",2,2015-06-05,"Join"
"546","SC486114","Children's home","North West","North West","Lancashire","Private",4,2015-07-08,"Join"
"547","SC486398","Children's home","East Midlands","East Midlands","Leicestershire","Private",4,2015-05-14,"Join"
"548","SC486479","Children's home","South East","South East","West Berkshire","Private",5,2015-04-16,"Join"
"549","SC486527","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",4,2015-11-26,"Join"
"550","SC486754","Children's home","London","London","Redbridge","Voluntary",4,2015-06-30,"Join"
"551","SC486879","Children's home","South East","South East","East Sussex","Private",5,2015-07-21,"Join"
"552","SC487196","Children's home","South East","South East","West Sussex","Private",5,2015-04-16,"Join"
"553","SC487488","Children's home","North West","North West","Halton","Private",1,2015-05-12,"Join"
"554","SC487549","Children's home","North West","North West","Cumberland","Private",4,2015-06-12,"Join"
"555","SC487702","Children's home","East of England","East of England","Suffolk","Private",3,2015-09-28,"Join"
"556","SC487764","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2015-09-23,"Join"
"557","SC487794","Children's home","West Midlands","West Midlands","Shropshire","Private",3,2015-04-17,"Join"
"558","SC488081","Children's home","East Midlands","East Midlands","Rutland","Private",2,2015-07-22,"Join"
"559","SC488223","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Rotherham","Private",3,2015-04-16,"Join"
"560","SC488406","Children's home","West Midlands","West Midlands","Wolverhampton","Private",3,2015-09-15,"Join"
"561","SC488596","Children's home","East Midlands","East Midlands","Derby","Local Authority",5,2015-04-15,"Join"
"562","SC488679","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Leeds","Local Authority",4,2015-04-10,"Join"
"563","SC488710","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",2,2015-07-10,"Join"
