,Sector_merge,Company.name,URN,Registered.number,Reason,Correct_category,comment
32,Corporate owned,CROSSWAY SERVICES LIMITED,SC061438,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
37,Corporate owned,CROSSWAY SERVICES LIMITED,SC064573,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
51,Corporate owned,CROSSWAY SERVICES LIMITED,SC386810,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
20,Corporate owned,DETAIL PERSONNEL CARE LIMITED,2688405,06892198,incorrect fame match,Individual owned,"two companies with same name, matched to dissolved - owned by one individual"
44,Corporate owned,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST,1276719,01662611,Muddle,Third sector,"seems a mess, charity renamed Spectrum, went bust, failed a bunch of care homes, not sure how the children's home is still running or who owns it"
7,Corporate owned,DISCOVERED LIMITED,1272209,04278702,incorrect fame match,Individual owned,"two companies with same name, owned by an individual with one asset holding company "
55,Corporate owned,DISCOVERED LIMITED,2545027,04278702,incorrect fame match,Individual owned,"two companies with same name, owned by an individual with one asset holding company "
63,Corporate owned,EMBRACE CARE LTD,2686253,07406700,incorrect fame match,Individual owned,"two companies with same name, owned by five individuals"
68,Corporate owned,EMBRACE CARE LTD,2672566,07406700,incorrect fame match,Individual owned,"two companies with same name, owned by five individuals"
19,Corporate owned,EXCEPTIONAL CARE LIMITED,2537801,05555624,incorrect fame match,Individual owned,"two companies with same name, owned by gillian ashcroft"
