"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"607","Private","2509452",3,"WIGAN","Horizon Care And Education Group Limited","Horizon Care And Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED","2019-03-11",NA,"06454959"
"608","Private","2509670",4,"STOCKPORT","Crystal Care Solutions Limited","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2019-03-28",NA,"05952454"
"609","Private","2509838",3,"BOLTON","Holistic Approach Ltd","Holistic Approach Ltd","HOLISTIC APPROACH LTD","2019-02-13",NA,"09365310"
"610","Private","2510604",4,"BURY","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD","2019-07-04",NA,"07252721"
"611","Private","2519592",4,"TAMESIDE","Care 4 Children Residential Services Ltd","Care 4 Children Residential Services Ltd","YOUR CHAPTER LIMITED","2019-04-08",NA,"09097182"
"612","Private","2525774",4,"OLDHAM","Stepping Stones Childrens Homes Ltd","Stepping Stones Childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED","2019-05-28",NA,"09977747"
"613","Private","2536761",4,"WIGAN","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2019-08-15",NA,"08885676"
"614","Private","2541033",5,"TRAFFORD","Pure Care Homes Ltd","Pure Care Homes Ltd","PURE CARE HOMES LTD","2019-09-05",NA,"11667392"
"615","Private","2542024",2,"MANCHESTER","Proactive Care","Proactive Care","PROACTIVE CARE SERVICES LIMITED","2019-08-30",NA,"03719907"
"616","Private","2548528",4,"ROCHDALE","Octagon Care Ltd","Octagon Care Ltd","OCTAGON CARE LTD","2019-08-12",NA,"10988764"
"617","Private","SC005567",4,"TAMESIDE","Keys Stepping Stones Limited","Keys Stepping Stones Limited","KEYS STEPPING STONES LIMITED",NA,NA,"03749791"
"618","Private","SC005589",2,"TAMESIDE","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"619","Private","SC008486",6,"STOCKPORT","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"620","Private","SC008487",6,"STOCKPORT","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"621","Private","SC008490",4,"STOCKPORT","Keys Stepping Stones Limited","Keys Stepping Stones Limited","KEYS STEPPING STONES LIMITED",NA,NA,"03749791"
"622","Private","SC008607",2,"STOCKPORT","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"623","Private","SC008608",2,"STOCKPORT","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"624","Private","SC021677",4,"MANCHESTER","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"625","Private","SC021679",4,"MANCHESTER","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"626","Private","SC021683",4,"MANCHESTER","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"627","Voluntary","SC035518",28,"STOCKPORT","Seashell Trust ","Seashell Trust","SEASHELL TRUST",NA,NA,"04216714"
"628","Local Authority","SC040437",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"629","Private","SC049189",3,"ROCHDALE","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"630","Private","SC064428",4,"WIGAN","Keys Active 8 Care Ltd","Keys Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED",NA,NA,"05107898"
"631","Private","SC064836",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"632","Private","SC065189",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"633","Private","SC066072",3,"OLDHAM","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"634","Private","SC066560",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"635","Private","SC357133",3,"STOCKPORT","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.",NA,NA,"10413929"
"636","Private","SC361811",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"637","Private","SC372117",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"638","Voluntary","SC373044",4,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"639","Private","SC381339",4,"MANCHESTER","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.",NA,"2022-06-11","10413929"
"640","Private","SC390577",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"641","Voluntary","SC397344",4,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"642","Private","SC400355",3,"STOCKPORT","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.",NA,NA,"10413929"
"643","Private","SC411030",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"644","Private","SC411825",2,"WIGAN","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED",NA,NA,"06968122"
"645","Private","SC416464",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"646","Private","SC420388",4,"BURY","Keys ACE Limited","Keys ACE Limited","KEYS ACE LIMITED",NA,NA,"05556312"
"647","Private","SC442864",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"648","Private","SC467268",5,"BLACKBURN WITH DARWEN","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD",NA,NA,"03576741"
"649","Voluntary","SC467796",3,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"650","Voluntary","SC470797",4,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"651","Private","SC477724",3,"WIGAN","Crystal Care Solutions Limited","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-17",NA,"05952454"
"652","Private","SC477726",2,"WIGAN","Crystal Care Solutions Limited","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-18",NA,"05952454"
"653","Private","SC477939",3,"ROCHDALE","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED","2014-06-03",NA,"05087886"
"654","Private","SC479776",4,"TAMESIDE","Proactive Care","Proactive Care","PROACTIVE CARE SERVICES LIMITED","2014-11-20","2020-07-01","03719907"
"655","Private","SC482410",3,"WIGAN","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED","2014-11-12",NA,"06968122"
"656","Voluntary","SC483533",3,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW","2015-01-27",NA,"02978546"
"657","Voluntary","SC484789",3,"BOLTON","Birtenshaw ","Birtenshaw","BIRTENSHAW","2015-01-27","2023-01-25","02978546"
"658","Private","SC008488",8,"STOCKPORT","Halliwell Homes","Halliwell Homes","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"659","Private","2598004",3,"OLDHAM","Strive To Care LTD","Strive To Care LTD","STRIVE TO CARE LTD","2020-10-05",NA,"12377099"
"660","Private","2591888",4,"TAMESIDE","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","2020-06-16",NA,"03431532"
"661","Private","2594033",3,"BURY","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED","2020-06-19",NA,"06968122"
"662","Local Authority","SC034012",5,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,NA,NA,NA
"663","Private","SC069198",3,"BURY","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED",NA,NA,"05087886"
"664","Private","1280412",4,"WIGAN","Apex Childrens Services Ltd","Apex Childrens Services Ltd","APEX CHILDRENS SERVICES LTD","2018-06-25",NA,"10344525"
"665","Private","1264537",5,"WIGAN","ROC Northwest","ROC Northwest","ROC NORTHWEST LIMITED","2017-11-29",NA,"05564417"
"666","Private","SC472680",5,"MANCHESTER","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"667","Private","2575432",2,"WIGAN","All Round Care Ltd","All Round Care Ltd","ALL ROUND CARE LTD","2020-05-01",NA,"10639802"
"668","Private","2582250",2,"ROCHDALE","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","2020-03-04",NA,"04922373"
"669","Private","2582337",4,"BURY","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","2020-03-04",NA,"04922373"
"670","Voluntary","SC035518",24,"STOCKPORT","Seashell Trust","Seashell Trust","SEASHELL TRUST",NA,NA,"04216714"
"671","Voluntary","SC397344",4,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"672","Private","2484682",3,"BURY","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD","2018-08-06",NA,"08256389"
"673","Private","2553543",3,"WIGAN","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2020-04-21",NA,"04460745"
"674","Private","2591916",1,"WIGAN","Future Focused Ltd","Future Focused Ltd","FUTURE FOCUSED LTD","2020-07-20",NA,"07408112"
"675","Private","1270297",3,"BURY","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD","2017-11-24",NA,"08256389"
"676","Private","2612810",3,"TAMESIDE","Pure Care Homes ltd","Pure Care Homes ltd","PURE CARE HOMES LTD","2021-01-19",NA,"11667392"
"677","Private","2553536",4,"WIGAN","Apex Childrens Services Ltd","Apex Childrens Services Ltd","APEX CHILDRENS SERVICES LTD","2019-11-22",NA,"10344525"
"678","Voluntary","SC484789",3,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW","2015-01-27","2023-01-25","02978546"
"679","Voluntary","SC470797",4,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"680","Private","SC065072",2,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"681","Private","2620950",2,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2021-03-22",NA,"04280519"
"682","Local Authority","1271135",7,"STOCKPORT","Stockport Metropolitan Borough Council","Stockport Metropolitan Borough Council",NA,"2018-02-15",NA,NA
"683","Private","SC043697",7,"TAMESIDE","Halliwell Homes","Halliwell Homes","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"684","Private","1280370",2,"OLDHAM","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"685","Private","2557152",3,"TAMESIDE","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD","2019-11-19",NA,"03576741"
"686","Voluntary","1233310",3,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW","2016-08-08",NA,"02978546"
"687","Private","1256134",4,"OLDHAM","ROC Northwest","ROC Northwest","ROC NORTHWEST LIMITED","2017-06-07",NA,"05564417"
"688","Private","1280371",2,"OLDHAM","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"689","Private","SC356864",2,"BURY","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"690","Private","2581296",1,"ROCHDALE","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","2020-03-04",NA,"04922373"
"691","Voluntary","2590128",4,"STOCKPORT","Seashell Trust","Seashell Trust","SEASHELL TRUST","2020-05-22",NA,"04216714"
"692","Private","2591400",3,"OLDHAM","Oasis Adolescent Services Limited","Oasis Adolescent Services Limited","OASIS ADOLESCENT SERVICES LIMITED","2020-05-06",NA,"10606038"
"693","Private","2625182",2,"MANCHESTER","Care Today (Childrens Services) Ltd","Care Today (Childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2021-03-03",NA,"03576741"
"694","Private","2623004",1,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2021-03-01",NA,"04280519"
"695","Private","2615395",2,"MANCHESTER","Care Today (Childrens Services) Ltd","Care Today (Childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2020-11-26",NA,"03576741"
"696","Private","2541033",5,"TRAFFORD","Pure Care Homes ltd","Pure Care Homes ltd","PURE CARE HOMES LTD","2019-09-05",NA,"11667392"
"697","Private","2597738",1,"WIGAN","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2020-06-30",NA,"04460745"
"698","Private","2606062",3,"MANCHESTER","Paramount Children's Services Ltd","Paramount childrens Services Ltd","PARAMOUNT CHILDREN'S SERVICES LTD","2021-01-11",NA,"12015758"
"699","Private","2571031",2,"MANCHESTER","Onextra Care Ltd","Onextra Care Ltd","ONEXTRA CARE LTD","2020-05-27",NA,"11855426"
"700","Private","SC064530",2,"OLDHAM","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"701","Private","SC357468",1,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"702","Local Authority","1263766",4,"TAMESIDE","Tameside Metropolitan Borough Council ","Tameside Metropolitan Borough Council",NA,"2017-10-23",NA,NA
"703","Private","1159258",4,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-10-14",NA,"04280519"
"704","Private","SC400355",3,"STOCKPORT","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"705","Voluntary","SC025713",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"706","Private","2509452",3,"WIGAN","Horizon Care and Education Group Limited","Horizon Care and Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED","2019-03-11",NA,"06454959"
"707","Private","2525774",4,"OLDHAM","Stepping Stones Childrens Homes Limited","Stepping Stones Childrens Homes Limited","STEPPING STONES CHILDRENS HOMES LIMITED","2019-05-28",NA,"09977747"
"708","Private","1261138",5,"BURY","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","2017-08-29",NA,"03431532"
"709","Private","2590109",3,"BURY","4 Pure Heart Limited","4PureHeart Limited","4PUREHEART LIMITED","2020-06-10",NA,"10057047"
"710","Private","1185828",4,"WIGAN","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD","2016-02-08",NA,"08256389"
"711","Private","SC381339",4,"MANCHESTER","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,"2022-06-11","04460745"
"712","Voluntary","1232380",6,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW","2016-03-17","2022-11-30","02978546"
"713","Private","SC378407",2,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"714","Private","SC416267",2,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"715","Private","SC008600",6,"STOCKPORT","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"716","Private","2600119",2,"BURY","Castle Care Homes Ltd","Castle Care Homes Ltd","CASTLE CARE HOMES LTD","2020-10-02","2022-11-07","11804393"
"717","Private","2600759",3,"WIGAN","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD","2020-08-19",NA,"08256389"
"718","Private","2582248",2,"BURY","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","2020-03-04",NA,"04922373"
"719","Voluntary","SC373044",4,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"720","Private","SC386837",2,"STOCKPORT","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"721","Voluntary","SC467796",3,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"722","Private","1244493",4,"TAMESIDE","Stepping Stones Childrens Homes Limited","Stepping Stones Childrens Homes Limited","STEPPING STONES CHILDRENS HOMES LIMITED","2017-02-10",NA,"09977747"
"723","Private","2550622",6,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2020-06-01",NA,"04280519"
"724","Private","1244881",2,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","2016-09-13",NA,"05033530"
"725","Private","1263425",2,"STOCKPORT","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2018-09-25",NA,"04460745"
"726","Private","1265092",7,"BOLTON","4 Pure Heart Limited","4PureHeart Limited","4PUREHEART LIMITED","2018-01-03",NA,"10057047"
"727","Local Authority","SC040926",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"728","Private","SC357133",3,"STOCKPORT","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"729","Private","2605180",3,"MANCHESTER","Invigor Adolescent Care Limited","Invigor Adolescent Care Limited","INVIGOR ADOLESCENT CARE LIMITED","2020-12-15",NA,"11666234"
"730","Private","SC062263",1,"ROCHDALE","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"731","Voluntary","SC483533",3,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW","2015-01-27",NA,"02978546"
"732","Private","1159258",4,"MANCHESTER","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2015-10-14",NA,"04280519"
"733","Private","1244881",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED","2016-09-13",NA,"05033530"
"734","Private","1256134",4,"OLDHAM","ROC Northwest Limited ","ROC Northwest Limited","ROC NORTHWEST LIMITED","2017-06-07",NA,"05564417"
"735","Private","1258975",3,"OLDHAM","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED","2017-10-16",NA,"10606038"
"736","Private","1263199",6,"WIGAN","Witherslack Group","Witherslack Group","WITHERSLACK GROUP LIMITED","2017-09-28",NA,"03579104"
"737","Private","1263425",2,"STOCKPORT","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2018-09-25",NA,"04460745"
"738","Private","1264537",5,"WIGAN","ROC Northwest Limited ","ROC Northwest Limited","ROC NORTHWEST LIMITED","2017-11-29",NA,"05564417"
"739","Private","1278753",3,"OLDHAM","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED","2018-09-06",NA,"10606038"
"740","Private","1280370",2,"OLDHAM","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"741","Private","1280371",2,"OLDHAM","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED","2018-07-16",NA,"05033530"
"742","Private","2519592",4,"TAMESIDE","Care 4 Children Residential Services Limited","Care 4 Children Residential Services Limited","YOUR CHAPTER LIMITED","2019-04-08",NA,"09097182"
"743","Private","2536761",3,"WIGAN","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","2019-08-15",NA,"08885676"
"744","Private","2542024",2,"MANCHESTER","Proactive Care (manchester) ltd","Proactive Care (manchester) ltd","PROACTIVE CARE (MANCHESTER) LTD","2019-08-30",NA,"08759855"
"745","Private","2550622",6,"OLDHAM","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2020-06-01",NA,"04280519"
"746","Private","2553543",3,"WIGAN","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2020-04-21",NA,"04460745"
"747","Private","2582337",2,"BURY","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD","2020-03-04",NA,"04922373"
"748","Private","2591400",3,"OLDHAM","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED","2020-05-06",NA,"10606038"
"749","Private","2594033",3,"BURY","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2020-06-19",NA,"06968122"
"750","Private","2597738",1,"WIGAN","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","2020-06-30",NA,"04460745"
"751","Private","2598004",3,"OLDHAM","Strive To Care Ltd","Strive To Care Ltd","STRIVE TO CARE LTD","2020-10-05",NA,"12377099"
"752","Private","2600119",2,"BURY","Castle Care Homes","Castle Care Homes","CASTLE CARE HOMES LIMITED","2020-10-02","2022-11-07","02862412"
"753","Private","2615395",2,"MANCHESTER","Care Today ( Childrens Services ) Ltd","Care Today ( Childrens Services ) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2020-11-26",NA,"03576741"
"754","Private","2620950",2,"BOLTON","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2021-03-22",NA,"04280519"
"755","Private","2621119",1,"WIGAN","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2021-04-23",NA,"04280519"
"756","Private","2623004",1,"BOLTON","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2021-03-01",NA,"04280519"
"757","Private","2625182",2,"MANCHESTER","Care Today ( Childrens Services ) Ltd","Care Today ( Childrens Services ) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","2021-03-03",NA,"03576741"
"758","Private","2627737",2,"OLDHAM","Supreme Child Care ltd","Supreme Child Care ltd","SUPREME CHILD CARE LTD","2021-10-06",NA,"12497748"
"759","Private","2628010",1,"WIGAN","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","2021-04-27",NA,"04280519"
"760","Voluntary","2628534",1,"BOLTON","Birtenshaw","Birtenshaw","BIRTENSHAW","2021-04-21","2022-05-26","02978546"
"761","Private","2630055",3,"BURY","4 Pure Heart Limited","4PureHeart Limited","4PUREHEART LIMITED","2022-01-10","2023-02-13","10057047"
"762","Private","2641768",4,"TAMESIDE","Care 4 Every Child Ltd","Care 4 Every Child Ltd","CARE 4 EVERY CHILD LIMITED","2021-10-01",NA,"11769512"
"763","Private","2642401",4,"TAMESIDE","Infinity Care Home Ltd","Infinity Care Home Ltd","INFINITY CARE HOME LTD","2021-11-05",NA,"12303401"
"764","Private","2643338",3,"OLDHAM","Sankofa Specialist Care Ltd","Sankofa Specialist Care Ltd","SANKOFA SPECIALIST CARE LTD","2021-10-12",NA,"12913729"
"765","Private","2645901",3,"BOLTON","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED","2021-09-13",NA,"10606038"
"766","Private","2646248",3,"MANCHESTER","Paramount Children's Services Ltd","Paramount childrens Services Ltd","PARAMOUNT CHILDREN'S SERVICES LTD","2021-10-25",NA,"12015758"
"767","Private","2651800",3,"MANCHESTER","Kids Inc Residential Services Ltd","Kids Inc Residential Services Ltd","KIDS INC RESIDENTIAL SERVICES LTD","2021-10-25",NA,"12722146"
"768","Private","2653207",1,"WIGAN","All Round Care Ltd","All Round Care Ltd","ALL ROUND CARE LTD","2021-10-27",NA,"10639802"
"769","Private","2657298",3,"MANCHESTER","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD","2021-11-15",NA,"12708214"
"770","Private","2663770",3,"BURY","Castle Care Homes","Castle Care Homes","CASTLE CARE HOMES LIMITED","2022-01-25","2022-08-01","02862412"
"771","Private","2664826",4,"MANCHESTER","Family Care Associates Limited","Family Care Associates Limited","FAMILY CARE ASSOCIATES LIMITED","2022-03-02",NA,"02252544"
"772","Private","2674455",1,"STOCKPORT","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED","2022-01-27",NA,"04211653"
"773","Private","SC008485",5,"STOCKPORT","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"774","Private","SC062263",1,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"775","Private","SC064530",2,"OLDHAM","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"776","Private","SC065072",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"777","Private","SC357133",3,"STOCKPORT","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"778","Private","SC381339",4,"MANCHESTER","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,"2022-06-11","04460745"
"779","Private","SC400355",3,"STOCKPORT","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
