"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"352","Private","1241634",2,"WIGAN","Future Focused Ltd","Future Focused Ltd","FUTURE FOCUSED LTD","2016-08-22",NA,"07408112"
"353","Private","1241757",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-08-09",NA,"06968122"
"354","Private","SC005553",5,"OLDHAM","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED",NA,NA,"03612944"
"355","Local Authority","SC035339",7,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"356","Local Authority","SC035492",4,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"357","Local Authority","SC387671",7,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"358","Private","SC483828",5,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD","2014-12-04",NA,"03762420"
"359","Private","1155775",1,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-09-24",NA,"04280519"
"360","Private","1156098",3,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2016-01-06",NA,"04280519"
"361","Private","1159258",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-10-14",NA,"04280519"
"362","Private","1185828",4,"WIGAN","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD","2016-02-08",NA,"08256389"
"363","Private","1224251",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-01-06","2019-05-31","06968122"
"364","Voluntary","1232380",6,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2016-03-17","2022-11-30","02978546"
"365","Voluntary","1233310",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW","2016-08-08",NA,"02978546"
"366","Local Authority","1237582",5,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,"2016-05-16",NA,NA
"367","Private","1240801",3,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-06-27",NA,"06968122"
"368","Private","1241634",2,"WIGAN","Future Focused Ltd","Future Focused Ltd","FUTURE FOCUSED LTD","2016-08-22",NA,"07408112"
"369","Private","1241757",3,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED","2016-08-09",NA,"06968122"
"370","Private","1244493",4,"TAMESIDE","Stepping Stone Children's Homes Ltd","Stepping Stone childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED","2017-02-10",NA,"09977747"
"371","Private","1244881",2,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED","2016-09-13",NA,"05033530"
"372","Local Authority","1244946",2,"WIGAN","Wigan Council","Wigan Council",NA,"2016-10-04",NA,NA
"373","Private","1247773",5,"MANCHESTER","Keys Care Limited","Keys Care Limited","KEYS CARE LIMITED","2016-11-30",NA,"NI053253"
"374","Private","1250915",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED","2017-03-16",NA,"05087886"
"375","Local Authority","1251073",5,"MANCHESTER","Manchester City Council","Manchester City Council",NA,"2017-02-24",NA,NA
"376","Private","1256134",4,"OLDHAM","Roc Northwest Ltd","Roc Northwest Ltd","ROC NORTHWEST LIMITED","2017-06-07",NA,"05564417"
"377","Private","1261138",5,"BURY","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","2017-08-29",NA,"03431532"
"378","Private","1263199",6,"WIGAN","Witherslack Group Ltd","Witherslack Group Ltd","WITHERSLACK GROUP LIMITED","2017-09-28",NA,"03579104"
"379","Private","1264537",5,"WIGAN","Roc Northwest Ltd","Roc Northwest Ltd","ROC NORTHWEST LIMITED","2017-11-29",NA,"05564417"
"380","Private","SC005553",5,"OLDHAM","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED",NA,NA,"03612944"
"381","Private","SC005567",4,"TAMESIDE","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"382","Private","SC005589",2,"TAMESIDE","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"383","Private","SC005751",1,"WIGAN","Doncaster Deaf Trust","Doncaster Deaf Trust","DONCASTER DEAF TRUST",NA,NA,"04105045"
"384","Private","SC008435",4,"BURY","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
