"","Local.authority","year","Places_Individual_owned","Places_Corporate_owned","Places_Unidentified_for_profit","Places_Local_Authority","Places_Third_sector","Places_Investment_owned","Places_LA_owned_company","Homes_Individual_owned","Homes_Corporate_owned","Homes_Unidentified_for_profit","Homes_Local_Authority","Homes_Third_sector","Homes_Investment_owned","Homes_LA_owned_company","out_of_area_per","out_of_area","net_gain","vacancy_rate_fte","child_rel_pov_n","under_19_population","rel_pov_per","Region.Country.name","median_house_price_detached","average_house_price_per_sq_m","X..of.white...aged.16.","Unemployment.rate...aged.16.64.","median_wage","claimant_count_rate","children_in_care","net_loss","occupancy_rate_fte","net_loss_same_year","All_homes","net_loss_lagged","net_loss_lead","LA_lagged","third_lagged","invest_lagged","all_lagged","ind_lagged","corp_lagged","residential_expenditure","Asylum_per","Asylum_no","all_change","third_change","la_change","invest_change","corp_change","ind_change"
"462","ENFIELD",2015,7,0,13,0,0,0,0,2,0,2,0,0,0,0,"c","c","-22",8,"13991",88146,15.8725296666894,"London",79,5722.66666666667,63.8,5.9,12.79,2.2,NA,22,92,0.603839958455156,4,0.455694038599725,0.277918934773207,0,0,0,4,2,0,"2769980",NA,NA,0,0,0,0,0,0
"463","ENFIELD",2016,7,0,8,0,0,0,0,2,0,2,0,0,0,0,"c","c","-11",8,"13547",88380,15.3281285358678,"London",80,5722.66666666667,64.7,4.7,13.26,2.2,NA,11,92,0.277918934773207,4,0.603839958455156,0.248289750802121,0,0,0,4,2,0,"2873615",NA,NA,0,0,0,0,0,0
"464","ENFIELD",2017,7,0,5,0,0,0,0,2,0,1,0,0,0,0,"c","c","-10",33.2,"14660",88394,16.5848360748467,"London",87.3,5722.66666666667,62.6,6.8,14.37,2.2,NA,10,66.8,0.248289750802121,3,0.277918934773207,0.159402198888862,0,0,0,4,2,0,"3949496",NA,NA,-1,0,0,0,0,0
"465","ENFIELD",2018,7,0,5,0,0,0,0,2,0,1,0,0,0,0,"c","c","-7",10.7,"13294",88404,15.037781095878,"London",98,5722.66666666667,68,5.7,14.04,2.4,NA,7,89.3,0.159402198888862,3,0.248289750802121,0.426064854628638,0,0,0,3,2,0,"2442186","20","65",0,0,0,0,0,0
"466","ENFIELD",2019,7,8,5,0,0,0,0,2,2,1,0,0,0,0,"c","c","-16",17.3,"14500",88246,16.4313396641208,"London",87.5,5722.66666666667,63.9,4.2,13.65,3.2,NA,16,82.7,0.426064854628638,5,0.159402198888862,0.10014383094669,0,0,0,3,2,0,"2485345","20","74",2,0,0,0,2,0
"467","ENFIELD",2020,11,14,5,0,0,0,0,3,3,1,0,0,0,0,"c","c","-5",18.4,"12576",87761,14.329827599959,"London",86.5,5722.66666666667,64.9,7.6,15.04,8.5,NA,5,81.6,0.10014383094669,7,0.426064854628638,0.248289750802121,0,0,0,5,2,2,"2272716","18","67",2,0,0,0,1,1
"468","ENFIELD",2021,11,14,5,0,0,0,0,3,3,1,0,0,0,0,"c","c","-10",15.6,"12816",86137,14.8786235880052,"London",94.25,5722.66666666667,64.2,5.9,15.74,8.6,NA,10,84.4,0.248289750802121,7,0.10014383094669,0.514952406541897,0,0,0,7,3,3,"4041899","11","40",0,0,0,0,0,0
"469","ENFIELD",2022,11,14,5,0,1,0,0,3,3,1,0,1,0,0,"c","c","-19",9.5,"14727",85575,17.2094653812445,"London",106,5722.66666666667,60.3,6.2,18.27,6.1,NA,19,90.5,0.514952406541897,8,0.248289750802121,0.57421077448407,0,0,0,7,3,3,"5910351","10","39",1,1,0,0,0,0
"470","ENFIELD",2023,7,14,5,0,1,0,0,2,3,1,0,1,0,0,"c","c","-21",13.1,"16515",85053,19.4173045042503,"London",106.45,5722.66666666667,57.1,7.5,18.2,5.8,NA,21,86.9,0.57421077448407,7,0.514952406541897,0.57421077448407,0,1,0,8,3,3,"9413029","12","52",-1,0,0,0,0,-1
"471","ENFIELD",2024,7,14,5,0,1,0,0,2,3,1,0,1,0,0,"84","36","-21",9.7,NA,NA,NA,"London",106,5722.66666666667,63.2,NA,18.12,6.5,42.8571428571429,21,90.3,0.57421077448407,7,0.57421077448407,NA,0,1,0,7,2,3,"12479385","11","44",0,0,0,0,0,0
"472","ESSEX",2014,22,33,20,52,9,27,0,6,7,4,3,0,8,0,"57","57","-25",NA,"42559",317132,13.419963926693,"East of England",31,3579.08333333333,NA,NA,12.47,1.8,100,25,NA,0.692727510368415,28,NA,0.633469142426242,NA,NA,NA,NA,NA,NA,"10938447",NA,NA,NA,NA,NA,NA,NA,NA
"473","ESSEX",2015,22,33,11,28,0,27,0,6,7,4,3,0,8,0,"68","65","-23",13,"44859",319034,14.06088379295,"East of England",33.5,3579.08333333333,95.4,5.6,12.82,1.3,95.5882352941177,23,87,0.633469142426242,28,0.692727510368415,0.396435670657552,3,0,8,28,6,7,"13946000",NA,NA,0,0,0,0,0,0
"474","ESSEX",2016,34,33,8,28,0,46,0,9,7,3,3,0,11,0,"68","58","-15",13,"43882",321128,13.6649560299943,"East of England",37.75,3579.08333333333,94,3.9,13.01,1.3,85.2941176470588,15,87,0.396435670657552,33,0.633469142426242,0.455694038599725,3,0,8,28,6,7,"13699450",NA,NA,5,0,0,3,0,3
"475","ESSEX",2017,45,45,6,28,0,55,0,11,9,2,3,0,13,0,"64","60","-17",12,"49589",322559,15.3736215700073,"East of England",40.7,3579.08333333333,93.4,3.3,13.83,1.3,93.75,17,88,0.455694038599725,38,0.396435670657552,-0.136889640822,3,0,11,33,9,7,"13561522",NA,NA,5,0,0,2,2,2
"476","ESSEX",2018,56,45,4,12,0,55,0,13,9,1,2,0,13,0,"62","52","3",13.3,"45905",323918,14.1717965657975,"East of England",43,3579.08333333333,94,4.2,14,1.5,83.8709677419355,-3,86.7,-0.136889640822,38,0.455694038599725,0.10014383094669,3,0,13,38,11,9,"17521920","9","93",0,0,-1,0,0,2
"477","ESSEX",2019,58,50,0,12,0,59,0,14,10,0,2,0,14,0,"70","61","-5",19.6,"53668",325991,16.4630311879776,"East of England",44,3579.08333333333,93.4,3.2,14.63,2.1,87.1428571428571,5,80.4,0.10014383094669,40,-0.136889640822,-0.018372904937655,2,0,13,38,13,9,"16856644","10","110",2,0,0,1,1,1
"478","ESSEX",2020,61,49,0,12,0,66,0,16,10,0,2,0,15,0,"71","62","-1",13.2,"49033",327009,14.9943885336489,"East of England",43.5,3579.08333333333,94.3,2.8,14.04,5.6,87.3239436619718,1,86.8,-0.018372904937655,43,0.10014383094669,-0.433181480532862,2,0,14,40,14,10,"17219879","10","104",3,0,0,1,0,2
"479","ESSEX",2021,69,53,4,12,0,65,0,18,12,1,2,0,15,0,"71","66","13",10.5,"48611",329589,14.7489752388581,"East of England",47,3579.08333333333,94.2,3.9,14.73,4.5,92.9577464788732,-13,89.5,-0.433181480532862,48,-0.018372904937655,-0.907248424070242,2,0,15,43,16,10,"17366152","9","101",5,0,0,0,2,2
"480","ESSEX",2022,85,53,4,12,0,71,0,19,12,1,2,0,16,0,"73","58","29",6.9,"53086",334683,15.8615764768453,"East of England",48,3579.08333333333,91.6,3.5,15.77,2.8,79.4520547945205,-29,93.1,-0.907248424070242,50,-0.433181480532862,-0.759102504214811,2,0,15,48,18,12,"18347660","12","136",2,0,0,1,0,1
"481","ESSEX",2023,85,49,7,12,0,71,0,19,11,1,2,0,16,0,"70","68","24",6.2,"55401",339713,16.3081777853659,"East of England",52.25,3579.08333333333,89.8,3.3,16.83,2.8,97.1428571428571,-24,93.8,-0.759102504214811,49,-0.907248424070242,-1.32205699966545,2,0,16,50,19,12,"20077214","14","168",-1,0,0,0,-1,0
"482","ESSEX",2024,85,49,7,12,0,71,0,19,11,1,2,0,16,0,"70","68","43",4.9,NA,NA,NA,"East of England",50.1,3579.08333333333,91.1,3.4,18.31,3,97.1428571428571,-43,95.1,-1.32205699966545,49,-0.759102504214811,NA,2,0,16,49,19,11,"29807490","13","145",0,0,0,0,0,0
"483","GATESHEAD",2014,0,0,0,16,0,5,0,0,0,0,3,0,2,0,"c","c","-10",NA,"7699",42484,18.122116561529,"North East",20.995,1523.33333333333,NA,NA,12.79,3.4,NA,10,NA,0.248289750802121,5,NA,0.396435670657552,NA,NA,NA,NA,NA,NA,"3435432",NA,NA,NA,NA,NA,NA,NA,NA
"484","GATESHEAD",2015,0,0,0,16,0,5,0,0,0,0,3,0,2,0,"c","c","-15",10,"8192",42246,19.391184964257,"North East",21.4975,1523.33333333333,97.9,8.6,12.29,2.7,NA,15,90,0.396435670657552,5,0.248289750802121,0.426064854628638,3,0,2,5,0,0,"3485770",NA,NA,0,0,0,0,0,0
"485","GATESHEAD",2016,0,0,0,16,0,10,0,0,0,0,3,0,3,0,"76","19","-16",10,"8284",42175,19.6419679905157,"North East",22.5,1523.33333333333,96.9,6.3,11.97,2.7,25,16,90,0.426064854628638,6,0.396435670657552,0.189031382859949,3,0,2,5,0,0,"3770475",NA,NA,1,0,0,1,0,0
"486","GATESHEAD",2017,0,0,0,11,0,10,0,0,0,0,2,0,3,0,"65","13","-8",15.8,"9562",41634,22.9668059758851,"North East",22.5,1523.33333333333,96.3,6.3,12.01,2.8,20,8,84.2,0.189031382859949,5,0.426064854628638,0.485323222570811,3,0,3,6,0,0,"3739762",NA,NA,-1,0,-1,0,0,0
"487","GATESHEAD",2018,0,0,0,11,0,12,0,0,0,0,2,0,4,0,"74","23","-18",3.9,"8819",41209,21.4006649032978,"North East",24.3,1523.33333333333,95.9,5.2,12.05,3.9,31.0810810810811,18,96.1,0.485323222570811,6,0.189031382859949,0.455694038599725,2,0,3,5,0,0,"4551841","2","6",1,0,0,1,0,0
"488","GATESHEAD",2019,0,5,0,11,0,10,0,0,1,0,2,0,3,0,"74","23","-17",2,"10544",40898,25.7812117951978,"North East",24.7,1523.33333333333,95.7,5.4,12.77,4.5,31.0810810810811,17,98,0.455694038599725,6,0.485323222570811,0.426064854628638,2,0,4,6,0,0,"6433376","c","c",0,0,0,-1,1,0
"489","GATESHEAD",2020,6,5,0,20,0,13,0,1,1,0,4,0,4,0,"59","22","-16",0,"8790",40630,21.6342603987202,"North East",26.5,1523.33333333333,95.8,5,12.68,7.8,37.2881355932203,16,100,0.426064854628638,10,0.455694038599725,0.396435670657552,2,0,3,6,0,1,"7383143","c","c",4,0,2,1,0,1
"490","GATESHEAD",2021,12,5,0,20,0,13,0,3,1,0,4,0,4,0,"59","23","-15",1.8,"9416",40526,23.2344667620787,"North East",27.025,1523.33333333333,95.7,6.7,13.26,6.8,38.9830508474576,15,98.2,0.396435670657552,12,0.426064854628638,0.396435670657552,4,0,4,10,1,1,"9188507","c","c",2,0,0,0,0,2
"491","GATESHEAD",2022,12,5,0,20,0,13,0,3,1,0,4,0,4,0,"60","28","-15",6.7,"11223",41509,27.0375099376039,"North East",27.8,1523.33333333333,95.6,6.1,14.62,4.6,46.6666666666667,15,93.3,0.396435670657552,12,0.396435670657552,0.396435670657552,4,0,4,12,3,1,"11335334","1","7",0,0,0,0,0,0
"492","GATESHEAD",2023,12,5,0,20,0,13,0,3,1,0,4,0,4,0,"63","33","-15",8.7,"11771",42242,27.8656313621514,"North East",27.2995,1523.33333333333,95.9,4.1,15.13,4.4,52.3809523809524,15,91.3,0.396435670657552,12,0.396435670657552,0.544581590512983,4,0,4,12,3,1,"15174471","4","20",0,0,0,0,0,0
"493","GATESHEAD",2024,12,5,0,20,0,13,0,3,1,0,4,0,4,0,"69","37","-20",8.3,NA,NA,NA,"North East",30.675,1523.33333333333,93.5,4.3,16.09,4.3,53.6231884057971,20,91.7,0.544581590512983,12,0.396435670657552,NA,4,0,4,12,3,1,"18451395","5","27",0,0,0,0,0,0
"494","GLOUCESTERSHIRE",2014,7,31,40,16,0,4,0,2,7,0,3,0,1,0,"68","15","33",NA,"17769",130582,13.6075416213567,"South West",29,2679.22222222222,NA,NA,12.62,1.6,22.0588235294118,-33,NA,-1.02576515995459,13,NA,-1.05539434392567,NA,NA,NA,NA,NA,NA,"4332019",NA,NA,NA,NA,NA,NA,NA,NA
"495","GLOUCESTERSHIRE",2015,10,31,40,16,0,4,0,3,7,0,3,0,1,0,"70","21","34",3,"18711",131392,14.2405930345835,"South West",31,2679.22222222222,96,5.1,12.88,1.1,30,-34,97,-1.05539434392567,14,-1.02576515995459,-0.788731688185897,3,0,1,13,2,7,"4681100",NA,NA,1,0,0,0,0,1
"496","GLOUCESTERSHIRE",2016,14,31,40,16,0,12,0,4,7,0,3,0,2,0,"71","27","25",3,"18553",132572,13.994659505778,"South West",32.5,2679.22222222222,95.4,4.4,13.07,1.1,38.0281690140845,-25,97,-0.788731688185897,16,-1.05539434392567,-0.37392311259069,3,0,1,14,3,7,"5883595",NA,NA,2,0,0,1,0,1
"497","GLOUCESTERSHIRE",2017,23,31,40,6,0,12,0,6,7,0,1,0,2,0,"63","30","11",18.4,"21111",133256,15.8424386143964,"South West",35,2679.22222222222,95.7,3.8,13.74,1,47.6190476190476,-11,81.6,-0.37392311259069,16,-0.788731688185897,-0.107260456850914,3,0,2,16,4,7,"7788560",NA,NA,0,0,-2,0,0,2
"498","GLOUCESTERSHIRE",2018,28,31,40,6,0,18,0,7,7,0,1,0,3,0,"68","36","2",34,"19438",133823,14.5251563632559,"South West",37.225,2679.22222222222,95,3,14.07,1.3,52.9411764705882,-2,66,-0.107260456850914,18,-0.37392311259069,0.485323222570811,1,0,2,16,6,7,"9840013","5","35",2,0,0,1,0,1
"499","GLOUCESTERSHIRE",2019,25,14,0,6,0,33,0,6,3,0,1,0,4,0,"84","58","-18",23.3,"22678",134238,16.8938750577333,"South West",37.7,2679.22222222222,95.3,2,14.83,1.8,69.047619047619,18,76.7,0.485323222570811,14,-0.107260456850914,0.455694038599725,1,0,3,18,7,7,"12477656","5","34",-4,0,0,1,-4,-1
"500","GLOUCESTERSHIRE",2020,25,14,0,6,0,39,0,6,3,0,1,0,5,0,"79","57","-17",15.7,"19297",134174,14.3820710420797,"South West",38,2679.22222222222,96.1,2.9,13.67,4.6,72.1518987341772,17,84.3,0.455694038599725,15,0.485323222570811,1.34456955773231,1,0,4,14,6,3,"16811589","3","24",1,0,0,1,0,0
"501","GLOUCESTERSHIRE",2021,27,14,0,6,0,24,0,7,3,0,1,0,4,0,"81","74","-47",15.8,"20173",134295,15.0214080941212,"South West",41.9995,2679.22222222222,96.2,4.8,14.55,3.6,91.358024691358,47,84.2,1.34456955773231,15,0.455694038599725,0.989019350079277,1,0,5,15,6,3,"20980109","2","19",0,0,0,-1,0,1
"502","GLOUCESTERSHIRE",2022,34,14,0,6,0,18,0,10,3,0,1,0,3,0,"73","66","-35",21.2,"22803",136205,16.7416761499211,"South West",42.5,2679.22222222222,95.1,3,15.53,2.2,90.4109589041096,35,78.8,0.989019350079277,17,1.34456955773231,0.781615062281673,1,0,4,15,7,3,"27075170","4","30",2,0,0,-1,0,3
"503","GLOUCESTERSHIRE",2023,34,14,6,6,0,18,0,10,3,0,1,0,3,0,"72","73","-28",21.4,"24694",137636,17.9415269260949,"South West",47.5,2679.22222222222,94.7,2.6,16.75,2.2,101.388888888889,28,78.6,0.781615062281673,17,0.989019350079277,0.277918934773207,1,0,3,17,10,3,"37601327","6","55",0,0,0,0,0,0
"504","GLOUCESTERSHIRE",2024,34,14,6,6,0,18,0,10,3,0,1,0,3,0,"67","58","-11",10.9,NA,NA,NA,"South West",47.5,2679.22222222222,93.2,3.3,17.68,2.6,86.5671641791045,11,89.1,0.277918934773207,17,0.781615062281673,NA,1,0,3,17,10,3,"29990291","7","60",0,0,0,0,0,0
"505","GREENWICH",2014,3,0,7,9,0,4,0,1,0,2,2,0,1,0,"c","c","-37",NA,"11169",67282,16.6002794209447,"London",53,6201.33333333333,NA,NA,15.37,2.8,NA,37,NA,1.04827771802145,6,NA,0.722356694339501,NA,NA,NA,NA,NA,NA,"8177622",NA,NA,NA,NA,NA,NA,NA,NA
"506","GREENWICH",2015,3,0,7,9,0,4,0,1,0,2,2,0,1,0,"85","35","-26",14,"11719",68335,17.1493378210288,"London",61,6201.33333333333,68.9,10.1,15.36,2.1,41.1764705882353,26,86,0.722356694339501,6,1.04827771802145,1.07790690199254,2,0,1,6,1,0,"8154990",NA,NA,0,0,0,0,0,0
"507","GREENWICH",2016,6,0,5,9,0,4,0,2,0,1,2,0,1,0,"86","43","-38",14,"11956",69221,17.272215079239,"London",69.2,6201.33333333333,62.9,7.5,15.11,2.1,50,38,86,1.07790690199254,6,0.722356694339501,0.781615062281673,2,0,1,6,1,0,"8330204",NA,NA,0,0,0,0,0,1
"508","GREENWICH",2017,6,0,5,9,0,4,0,2,0,1,2,0,1,0,"c","c","-28",14.6,"13279",69788,19.0276265260503,"London",59.9995,6201.33333333333,62.6,6.3,15.6,2.2,NA,28,85.4,0.781615062281673,6,1.07790690199254,1.01864853405036,2,0,1,6,2,0,"7934630",NA,NA,0,0,0,0,0,0
"509","GREENWICH",2018,6,5,0,9,0,4,0,2,1,0,2,0,1,0,"c","c","-36",8.3,"12145",69974,17.3564466801955,"London",68,6201.33333333333,66.2,6.3,16.09,2.1,NA,36,91.7,1.01864853405036,6,0.781615062281673,0.840873430223846,2,0,1,6,2,0,"6045030","3","17",0,0,0,0,1,0
"510","GREENWICH",2019,6,5,0,9,0,4,0,2,1,0,2,0,1,0,"c","c","-30",3.5,"13833",69910,19.7868688313546,"London",71,6201.33333333333,64.2,5.8,15.77,2.7,NA,30,96.5,0.840873430223846,6,1.01864853405036,0.485323222570811,2,0,1,6,2,1,"10121507","8","40",0,0,0,0,0,0
"511","GREENWICH",2020,6,5,0,17,0,4,0,2,1,0,1,0,1,0,"c","c","-18",8.6,"13017",69739,18.6653092243938,"London",84.5,6201.33333333333,61.3,5.4,16.86,7.6,NA,18,91.4,0.485323222570811,5,0.840873430223846,0.603839958455156,2,0,1,6,2,1,"6794509","9","43",-1,0,-1,0,0,0
"512","GREENWICH",2021,12,0,0,5,0,4,0,3,0,0,1,0,1,0,"c","c","-22",10.7,"13037",68942,18.9100983435351,"London",84.2,6201.33333333333,63.3,6.5,17.24,7.3,NA,22,89.3,0.603839958455156,5,0.485323222570811,0.781615062281673,1,0,1,5,2,1,"7122385","3","12",0,0,0,0,-1,1
"513","GREENWICH",2022,12,0,0,5,0,4,0,3,0,0,1,0,1,0,"87","39","-28",16.6,"14904",68741,21.6813837447811,"London",89.9975,6201.33333333333,60.6,8.6,17.74,4.9,44.8275862068966,28,83.4,0.781615062281673,5,0.603839958455156,0.959390166108191,1,0,1,5,3,0,"8805618","7","32",0,0,0,0,0,0
"514","GREENWICH",2023,6,0,0,5,0,4,0,2,0,0,1,0,1,0,"c","c","-34",18.6,"15192",68348,22.2274243576988,"London",87.75,6201.33333333333,59.3,3.6,18.82,4.8,NA,34,81.4,0.959390166108191,4,0.781615062281673,0.989019350079277,1,0,1,5,3,0,"12093835","5","19",-1,0,0,0,0,-1
"515","GREENWICH",2024,6,0,0,5,0,4,0,2,0,0,1,0,1,0,"88","44","-35",17.1,NA,NA,NA,"London",85.3,6201.33333333333,51.5,6.4,19.5,5.2,50,35,82.9,0.989019350079277,4,0.959390166108191,NA,1,0,1,4,2,0,"15305369","6","24",0,0,0,0,0,0
"516","HACKNEY",2015,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"100","13","-13",24,"11837",62001,19.0916275543943,"London",100,8283.66666666667,58.2,7.3,14.66,2.7,13,13,76,0.33717730271538,1,0.307548118744293,0.33717730271538,NA,NA,NA,NA,NA,NA,"2239910",NA,NA,NA,NA,NA,NA,NA,NA
"517","HACKNEY",2016,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"100","13","-13",24,"11556",62518,18.4842765283598,"London",72.25,8283.66666666667,54.7,5.7,16.15,2.5,13,13,76,0.33717730271538,1,0.33717730271538,0.57421077448407,0,0,0,1,0,1,"2151393",NA,NA,0,0,0,0,0,0
"518","HACKNEY",2017,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"100","22","-21",21.4,"13459",62280,21.6104688503532,"London",157.1,8283.66666666667,59,6.4,15.95,2.5,22,21,78.6,0.57421077448407,1,0.33717730271538,0.663098326397328,0,0,0,1,0,1,"3454671",NA,NA,0,0,0,0,0,0
"519","HACKNEY",2018,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"100","25","-24",20.1,"12461",62306,19.9996790036273,"London",190,8283.66666666667,56.3,3.4,16.78,2.6,25,24,79.9,0.663098326397328,1,0.57421077448407,0.633469142426242,0,0,0,1,0,1,"3966780","7","27",0,0,0,0,0,0
"520","HACKNEY",2019,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"c","c","-23",24.2,"14580",61638,23.654239267984,"London",124,8283.66666666667,56.3,5.9,17.73,3.4,NA,23,75.8,0.633469142426242,1,0.663098326397328,0.870502614194932,0,0,0,1,0,1,"4978052","11","44",0,0,0,0,0,0
"521","HACKNEY",2020,0,8,0,0,0,0,0,0,1,0,0,0,0,0,"c","c","-31",22.6,"13086",60503,21.6286795696081,"London",NA,8283.66666666667,58.8,4.6,18.7,9,NA,31,77.4,0.870502614194932,1,0.633469142426242,1.01864853405036,0,0,0,1,0,1,"5542937","10","45",0,0,0,0,0,0
"522","HACKNEY",2021,0,10,0,0,0,0,0,0,2,0,0,0,0,0,"c","c","-36",22.1,"13656",58603,23.3025613023224,"London",127.75,8283.66666666667,61.2,5.7,20.56,9,NA,36,77.9,1.01864853405036,2,0.870502614194932,0.781615062281673,0,0,0,1,0,1,"8258737","8","33",1,0,0,0,1,0
"523","HACKNEY",2022,0,10,0,0,0,0,0,0,2,0,0,0,0,0,"c","c","-28",29.6,"14728",58116,25.3424186110538,"London",145,8283.66666666667,63.9,4.1,21.53,6,NA,28,70.4,0.781615062281673,2,1.01864853405036,0.663098326397328,0,0,0,2,0,2,"10544712","7","29",0,0,0,0,0,0
"524","HACKNEY",2023,0,10,0,0,0,0,0,0,2,0,0,0,0,0,"c","c","-24",31.1,"15913",57321,27.7612044451423,"London",147.5,8283.66666666667,59.9,7.9,24.03,5.9,NA,24,68.9,0.663098326397328,2,0.781615062281673,0.722356694339501,0,0,0,2,0,2,"11185490","7","26",0,0,0,0,0,0
"525","HACKNEY",2024,0,10,0,0,0,0,0,0,2,0,0,0,0,0,"c","c","-26",34.2,NA,NA,NA,"London",220,8283.66666666667,58.1,5.1,23.85,6.5,NA,26,65.8,0.722356694339501,2,0.663098326397328,NA,0,0,0,2,0,2,"11415205","4","16",0,0,0,0,0,0
"526","HALTON",2014,0,0,8,8,0,19,0,0,0,1,2,0,9,0,"c","c","-6",NA,"5278",29487,17.8994133007766,"North West",21.2995,1514.66666666667,NA,NA,12.76,3.3,NA,6,NA,0.129773014917776,12,NA,0.159402198888862,NA,NA,NA,NA,NA,NA,"4125382.81",NA,NA,NA,NA,NA,NA,NA,NA
"527","HALTON",2015,0,0,4,8,0,20,0,0,0,1,2,0,10,0,"c","c","-7",11,"5612",29458,19.0508520605608,"North West",22,1514.66666666667,98.5,6.5,13.26,2.8,NA,7,89,0.159402198888862,13,0.129773014917776,-0.0776312728798275,2,0,9,12,0,0,"5336410",NA,NA,1,0,0,1,0,0
"528","HALTON",2016,0,0,4,8,0,20,0,0,0,1,2,0,10,0,"c","c","1",11,"5460",29402,18.5701652948779,"North West",22.5,1514.66666666667,98.7,4,13.17,2.6,NA,-1,89,-0.0776312728798275,13,0.159402198888862,0.248289750802121,2,0,10,13,0,0,"5916692",NA,NA,0,0,0,0,0,0
"529","HALTON",2017,0,2,4,4,0,20,0,0,1,1,1,0,10,0,"c","c","-10",2.8,"6081",29353,20.7167921507171,"North West",24.225,1514.66666666667,98.6,4.2,13.82,3.8,NA,10,97.2,0.248289750802121,13,-0.0776312728798275,0.396435670657552,2,0,10,13,0,0,"7750759",NA,NA,0,0,-1,0,1,0
"530","HALTON",2018,0,2,0,4,0,24,0,0,1,0,1,0,11,0,"c","c","-15",6.5,"5587",29428,18.985320103303,"North West",24.8,1514.66666666667,98.3,5.3,14.17,4,NA,15,93.5,0.396435670657552,13,0.248289750802121,0.366806486686466,1,0,10,13,0,1,"770379","c","c",0,0,0,1,0,0
"531","HALTON",2019,0,2,0,4,0,25,0,0,1,0,1,0,12,0,"c","c","-14",13.7,"6806",29338,23.1985820437658,"North West",26.05,1514.66666666667,98.7,3.8,14.38,4.1,NA,14,86.3,0.366806486686466,14,0.396435670657552,0.33717730271538,1,0,11,13,0,1,"7372303","c","c",1,0,0,1,0,0
"532","HALTON",2020,0,4,0,4,0,25,0,0,2,0,1,0,12,0,"c","c","-13",20.5,"5646",29110,19.3953967708691,"North West",26,1514.66666666667,97.7,2.7,14.64,7.3,NA,13,79.5,0.33717730271538,15,0.366806486686466,0.366806486686466,1,0,12,14,0,1,"7584027","c","c",1,0,0,0,1,0
"533","HALTON",2021,0,4,0,4,0,30,0,0,2,0,1,0,13,0,"c","c","-14",17.6,"6380",28889,22.0845304441137,"North West",27.5,1514.66666666667,98.6,3.5,14.94,5.9,NA,14,82.4,0.366806486686466,16,0.33717730271538,0.396435670657552,1,0,12,15,0,2,"9146735","4","12",1,0,0,1,0,0
"534","HALTON",2022,2,6,0,4,0,30,0,1,3,0,1,0,13,0,"c","c","-15",39.8,"7335",29040,25.2582644628099,"North West",31.5,1514.66666666667,98.4,4.3,15.66,4.2,NA,15,60.2,0.396435670657552,18,0.366806486686466,0.426064854628638,1,0,13,16,0,2,"13185999","10","36",2,0,0,0,1,1
"535","HALTON",2023,2,6,0,4,0,30,0,1,3,0,1,0,13,0,"c","c","-16",52.1,"7547",29042,25.9865023070037,"North West",32.9995,1514.66666666667,97.8,2,17.89,4.2,NA,16,47.9,0.426064854628638,18,0.396435670657552,0.218660566831035,1,0,13,18,1,3,"16897759","5","19",0,0,0,0,0,0
"536","HALTON",2024,2,6,0,4,0,30,0,1,3,0,1,0,13,0,"c","c","-9",43,NA,NA,NA,"North West",32,1514.66666666667,97.5,6.6,18.97,4.5,NA,9,57,0.218660566831035,18,0.426064854628638,NA,1,0,13,18,1,3,"19808794","6","21",0,0,0,0,0,0
"537","HAMMERSMITH AND FULHAM",2014,0,0,0,7,0,0,0,0,0,0,1,0,0,0,"c","c","-12",NA,"4054",34554,11.7323609422932,"London",161.7,10904.3333333333,NA,NA,16.77,2.6,NA,12,NA,0.307548118744293,1,NA,0.396435670657552,NA,NA,NA,NA,NA,NA,"3091163",NA,NA,NA,NA,NA,NA,NA,NA
"538","HAMMERSMITH AND FULHAM",2015,0,0,0,7,0,0,0,0,0,0,1,0,0,0,"100","15","-15",11,"4253",34253,12.4164306776049,"London",138.5,10904.3333333333,73.2,3.9,16.42,2.2,15,15,89,0.396435670657552,1,0.307548118744293,0.33717730271538,1,0,0,1,0,0,"3023760",NA,NA,0,0,0,0,0,0
"539","HAMMERSMITH AND FULHAM",2016,0,0,0,7,0,0,0,0,0,0,1,0,0,0,"c","c","-13",11,"3998",34363,11.6346069900765,"London",121.25,10904.3333333333,69.4,5,17.45,2.2,NA,13,89,0.33717730271538,1,0.396435670657552,0.307548118744293,1,0,0,1,0,0,"3733618",NA,NA,0,0,0,0,0,0
"540","HAMMERSMITH AND FULHAM",2017,0,0,0,7,0,0,0,0,0,0,1,0,0,0,"c","c","-12",11.3,"4544",34751,13.0758827084113,"London",NA,10904.3333333333,68.7,2.8,17.98,2.8,NA,12,88.7,0.307548118744293,1,0.33717730271538,0.366806486686466,1,0,0,1,0,0,"4846426",NA,NA,0,0,0,0,0,0
"541","HAMMERSMITH AND FULHAM",2018,0,0,0,7,4,0,0,0,0,0,1,1,0,0,"c","c","-14",11,"4384",34817,12.5915501048338,"London",NA,10904.3333333333,70.7,3.5,19.74,3.2,NA,14,89,0.366806486686466,2,0.307548118744293,0.33717730271538,1,0,0,1,0,0,"2742742","15","35",1,1,0,0,0,0
