"","URN","chain_size"
"598","1254840",41
"599","1255744",34
"600","1255746",34
"601","1255748",34
"602","1256058",34
"603","1256608",5
"604","1256610",34
"605","1256638",23
"606","1257074",225
"607","1257739",24
"608","1258627",7
"609","1258894",1
"610","1262935",13
"611","1268518",10
"612","1269966",1
"613","1270298",1
"614","1271234",3
"615","1271380",19
"616","1271383",8
"617","1271519",2
"618","1274341",6
"619","1274670",58
"620","1275189",21
"621","1275500",2
"622","1277079",9
"623","1278708",34
"624","1280629",225
"625","2484441",15
"626","2490729",60
"627","2491037",1
"628","2502314",225
"629","2503031",2
"630","2504494",2
"631","2506101",38
"632","2508153",127
"633","2508456",14
"634","2509298",36
"635","2509670",10
"636","2510737",2
"637","2517184",3
"638","2517443",6
"639","2526004",6
"640","2526921",13
"641","2527558",225
"642","2531755",127
"643","2536455",2
"644","2536967",7
"645","2538785",19
"646","2539688",5
"647","2539752",131
"648","2540092",1
"649","2542024",5
"650","2542813",225
"651","2547847",4
"652","2548569",4
"653","2552727",5
"654","2557141",1
"655","2557603",2
"656","2559019",3
"657","2562675",2
"658","2563544",22
"659","2565231",14
"660","2566238",6
"661","2567039",10
"662","2567267",1
"663","2570055",58
"664","2573144",60
"665","2575842",1
"666","2576409",41
"667","2577168",3
"668","2578675",41
"669","2585139",1
"670","2586943",60
"671","2587315",15
"672","2589440",1
"673","2589771",17
"674","2590732",127
"675","2591033",1
"676","2591854",2
"677","2592030",1
"678","2592035",4
"679","2592531",3
"680","2592700",2
"681","2592846",3
"682","2592891",1
"683","2593032",1
"684","2593071",4
"685","2593095",6
"686","2594629",1
"687","2594825",13
"688","2595620",127
"689","2596008",6
"690","2597490",4
"691","2597734",2
"692","2598205",17
"693","2600119",2
"694","2600541",3
"695","2605554",3
"696","2608195",53
"697","2608666",36
"698","2612115",60
"699","2612347",4
"700","2613627",53
"701","2613849",41
"702","2619265",1
"703","2620184",3
"704","2620698",6
"705","2621119",225
"706","2622281",2
"707","2622998",58
"708","2623004",225
"709","2623368",3
"710","2623568",58
"711","2623962",14
"712","2624223",2
"713","2624723",6
"714","2625371",1
"715","2628534",9
"716","2630055",3
"717","2630934",127
"718","2631221",1
"719","2633498",5
"720","2633617",225
"721","2634397",2
"722","2634624",58
"723","2634800",127
"724","2634929",2
"725","2635062",58
"726","2636494",1
"727","2636743",1
"728","2636921",17
"729","2638487",1
"730","2640245",1
"731","2642399",58
"732","2643390",38
"733","2649739",58
"734","2652939",1
"735","2654906",2
"736","2655345",60
"737","2656902",4
"738","2659548",13
"739","2663770",2
"740","2671426",12
"741","2672845",13
"742","2672877",38
"743","2673201",6
"744","SC001531",1
"745","SC004429",19
"746","SC005040",34
"747","SC005204",131
"748","SC005553",6
"749","SC006011",9
"750","SC008269",34
"751","SC008274",8
"752","SC010090",21
"753","SC014848",2
"754","SC020611",131
"755","SC023637",41
"756","SC023740",15
"757","SC023743",15
"758","SC023746",15
"759","SC025695",12
"760","SC025740",12
"761","SC028526",6
"762","SC028536",6
"763","SC030439",5
"764","SC030677",1
"765","SC030713",1
"766","SC030797",15
"767","SC031220",41
"768","SC032058",4
"769","SC032315",2
"770","SC033611",3
"771","SC033657",12
"772","SC033808",11
"773","SC034158",12
"774","SC034313",17
"775","SC034419",10
"776","SC034441",6
"777","SC034746",17
"778","SC034849",4
"779","SC034922",5
"780","SC034944",131
"781","SC035155",5
"782","SC035387",7
"783","SC035439",22
"784","SC035499",3
"785","SC035971",2
"786","SC036186",17
"787","SC036304",4
"788","SC037181",6
"789","SC037248",2
"790","SC038500",5
"791","SC038961",6
"792","SC039025",6
"793","SC039070",2
"794","SC039559",2
"795","SC039676",22
"796","SC040132",9
"797","SC040266",6
"798","SC040437",4
"799","SC040491",9
"800","SC040633",12
"801","SC040982",6
"802","SC041887",1
"803","SC042978",9
"804","SC045096",6
"805","SC046524",10
"806","SC052599",3
"807","SC054468",8
"808","SC059037",58
"809","SC059180",225
"810","SC059753",12
"811","SC060811",38
"812","SC060839",6
"813","SC061005",13
"814","SC061158",21
"815","SC061878",38
"816","SC062074",131
"817","SC062785",2
"818","SC063498",6
"819","SC063767",4
"820","SC063978",13
"821","SC064027",225
"822","SC064454",38
"823","SC064931",6
"824","SC065552",13
"825","SC066127",225
"826","SC066183",225
"827","SC066187",225
"828","SC066393",225
"829","SC066796",11
"830","SC066912",58
"831","SC066917",58
"832","SC067151",10
"833","SC067757",11
"834","SC068179",7
"835","SC069474",6
"836","SC356817",4
"837","SC356907",38
"838","SC358349",18
"839","SC359818",225
"840","SC359832",10
"841","SC360599",4
"842","SC361167",16
"843","SC361789",9
"844","SC363268",4
"845","SC363398",127
"846","SC366090",23
"847","SC366107",23
"848","SC367802",10
"849","SC368637",7
"850","SC369840",15
"851","SC369857",6
"852","SC370703",12
"853","SC372661",131
"854","SC373044",9
