Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Private,2519592,4,TAMESIDE,Care 4 Children Residential Services Limited,Care 4 Children Residential Services Limited,YOUR CHAPTER LIMITED,2019-04-08,NA,09097182
Private,2536761,3,WIGAN,Hexagon Care Services Ltd,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED,2019-08-15,NA,08885676
Private,2542024,2,MANCHESTER,Proactive Care (manchester) ltd,Proactive Care (manchester) ltd,PROACTIVE CARE (MANCHESTER) LTD,2019-08-30,NA,08759855
Private,2550622,6,OLDHAM,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2020-06-01,NA,04280519
Private,2553543,3,WIGAN,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-04-21,NA,04460745
Private,2582337,2,BURY,Sandcastle Care Ltd,Sandcastle Care Ltd,SANDCASTLE CARE LTD,2020-03-04,NA,04922373
Private,2590699,4,SALFORD,Care 4 Every Child Ltd,Care 4 Every Child Ltd,CARE 4 EVERY CHILD LIMITED,2020-06-10,NA,11769512
Private,2591400,3,OLDHAM,Oasis Adolescent Services Ltd,Oasis Adolescent Services Ltd,OASIS ADOLESCENT SERVICES LIMITED,2020-05-06,NA,10606038
Private,2594007,2,SALFORD,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2020-06-09,NA,04280519
Private,2594033,3,BURY,Inspire Childrens Services Limited,Inspire Childrens Services Limited,INSPIRE CHILDRENS SERVICES LIMITED,2020-06-19,NA,06968122
Private,2597738,1,WIGAN,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-06-30,NA,04460745
Private,2598004,3,OLDHAM,Strive To Care Ltd,Strive To Care Ltd,STRIVE TO CARE LTD,2020-10-05,NA,12377099
Private,2608484,2,SALFORD,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-12-22,NA,04460745
Private,2615395,2,MANCHESTER,Care Today ( Childrens Services ) Ltd,Care Today ( Childrens Services ) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2020-11-26,NA,03576741
Private,2620950,2,BOLTON,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2021-03-22,NA,04280519
Private,2621119,1,WIGAN,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2021-04-23,NA,04280519
Private,2623004,1,BOLTON,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2021-03-01,NA,04280519
Private,2625182,2,MANCHESTER,Care Today ( Childrens Services ) Ltd,Care Today ( Childrens Services ) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2021-03-03,NA,03576741
Private,2627737,2,OLDHAM,Supreme Child Care ltd,Supreme Child Care ltd,SUPREME CHILD CARE LTD,2021-10-06,NA,12497748
Private,2628010,1,WIGAN,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2021-04-27,NA,04280519
Private,2641768,4,TAMESIDE,Care 4 Every Child Ltd,Care 4 Every Child Ltd,CARE 4 EVERY CHILD LIMITED,2021-10-01,NA,11769512
Private,2642401,4,TAMESIDE,Infinity Care Home Ltd,Infinity Care Home Ltd,INFINITY CARE HOME LTD,2021-11-05,NA,12303401
Private,2643338,3,OLDHAM,Sankofa Specialist Care Ltd,Sankofa Specialist Care Ltd,SANKOFA SPECIALIST CARE LTD,2021-10-12,NA,12913729
Private,2645901,3,BOLTON,Oasis Adolescent Services Ltd,Oasis Adolescent Services Ltd,OASIS ADOLESCENT SERVICES LIMITED,2021-09-13,NA,10606038
Private,2646248,3,MANCHESTER,Paramount Children's Services Ltd,Paramount childrens Services Ltd,PARAMOUNT CHILDREN'S SERVICES LTD,2021-10-25,NA,12015758
Private,2651800,3,MANCHESTER,Kids Inc Residential Services Ltd,Kids Inc Residential Services Ltd,KIDS INC RESIDENTIAL SERVICES LTD,2021-10-25,NA,12722146
Private,2653207,1,WIGAN,All Round Care Ltd,All Round Care Ltd,ALL ROUND CARE LTD,2021-10-27,NA,10639802
Private,2657298,3,MANCHESTER,RESILIENCE RESIDENTIAL SERVICES LTD,RESILIENCE RESIDENTIAL SERVICES LTD,RESILIENCE RESIDENTIAL SERVICES LTD,2021-11-15,NA,12708214
Private,2664826,4,MANCHESTER,Family Care Associates Limited,Family Care Associates Limited,FAMILY CARE ASSOCIATES LIMITED,2022-03-02,NA,02252544
Private,2674455,1,STOCKPORT,Choices Home for Children Limited,Choices Home for Children Limited,CHOICES HOME FOR CHILDREN LIMITED,2022-01-27,NA,04211653
Private,SC008485,5,STOCKPORT,Choices Home for Children Limited,Choices Home for Children Limited,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,SC062263,1,ROCHDALE,Time-Out Childrens Homes Limited,Time-Out Childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC064530,2,OLDHAM,Time-Out Childrens Homes Limited,Time-Out Childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC065072,2,ROCHDALE,Time-Out Childrens Homes Limited,Time-Out Childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC357133,3,STOCKPORT,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Private,SC400355,3,STOCKPORT,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Private,SC407169,4,STOCKPORT,Choices Home for Children Limited,Choices Home for Children Limited,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,SC412687,3,SALFORD,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Private,SC436559,5,STOCKPORT,Choices Home for Children Limited,Choices Home for Children Limited,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,SC479647,6,WIGAN,Hexagon Care Services Ltd,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED,2014-10-08,NA,08885676
Private,SC479650,6,ROCHDALE,Hexagon Care Services Ltd,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED,2014-10-08,NA,08885676
Private,SC479654,6,ROCHDALE,Hexagon Care Services Ltd,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED,2014-09-05,NA,08885676
Private,SC480161,6,TAMESIDE,Hexagon Care Services Ltd,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED,2014-09-10,NA,08885676
Private,SC386837,2,STOCKPORT,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Private,2628010,1,WIGAN,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2021-04-27,NA,04280519
Private,2657298,3,MANCHESTER,Resilience Residential Services Ltd ,Resilience Residential Services Ltd,RESILIENCE RESIDENTIAL SERVICES LTD,2021-11-15,NA,12708214
Private,2676372,2,MANCHESTER,Resilience Residential Services Ltd ,Resilience Residential Services Ltd,RESILIENCE RESIDENTIAL SERVICES LTD,2022-04-19,NA,12708214
Private,2678673,3,MANCHESTER,Parkwood Care,Parkwood Care,PARKWOOD CARE LIMITED,2022-05-25,NA,12549974
Private,2669033,2,WIGAN,Proactive Care (manchester) ltd,Proactive Care (manchester) ltd,PROACTIVE CARE (MANCHESTER) LTD,2022-04-08,NA,08759855
Private,SC008600,6,STOCKPORT,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Private,2519592,4,TAMESIDE,Your Chapter LTD,Your Chapter LTD,YOUR CHAPTER LIMITED,2019-04-08,NA,09097182
Private,2591888,4,TAMESIDE,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,2020-06-16,NA,03431532
Private,2612810,3,TAMESIDE,Pure Care Homes Ltd,Pure Care Homes Ltd,PURE CARE HOMES LTD,2021-01-19,NA,11667392
Private,2685250,3,BURY,Pure Care Homes Ltd,Pure Care Homes Ltd,PURE CARE HOMES LTD,2022-07-27,NA,11667392
Private,2672559,2,MANCHESTER,Care Today (Children's Services) Ltd,Care Today (childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2022-04-21,NA,03576741
Private,SC472680,5,MANCHESTER,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Private,SC005553,4,OLDHAM,Dalepeak Limited,Dalepeak Limited,DALEPEAK LIMITED,NA,NA,03612944
Private,SC436559,5,STOCKPORT,Choices Home for Children,Choices Home for Children,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,2680502,2,BOLTON,Social Care Services (Clayton) Limited,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2022-05-21,NA,04460745
Private,1261138,5,BURY,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,2017-08-29,NA,03431532
Private,2625182,2,MANCHESTER,Care Today (Children's Services) Ltd,Care Today (childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2021-03-03,NA,03576741
Local Authority,1271135,2,STOCKPORT,Stockport Metropolitan Borough Council,Stockport Metropolitan Borough Council,NA,2018-02-15,NA,NA
Private,2680860,3,BURY,Invigor Adolescent Care Limited,Invigor Adolescent Care Limited,INVIGOR ADOLESCENT CARE LIMITED,2022-09-16,NA,11666234
Private,2674455,1,STOCKPORT,Choices Home for Children,Choices Home for Children,CHOICES HOME FOR CHILDREN LIMITED,2022-01-27,NA,04211653
Private,SC407169,4,STOCKPORT,Choices Home for Children,Choices Home for Children,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,SC008485,5,STOCKPORT,Choices Home for Children,Choices Home for Children,CHOICES HOME FOR CHILDREN LIMITED,NA,NA,04211653
Private,2615395,2,MANCHESTER,Care Today (Children's Services) Ltd,Care Today (childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2020-11-26,NA,03576741
Private,2621119,1,WIGAN,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2021-04-23,NA,04280519
Private,2669905,3,MANCHESTER,NA,NA,NA,2022-05-23,NA,NA
Private,2693530,2,WIGAN,NA,NA,NA,2022-08-22,NA,NA
Private,2697331,3,TRAFFORD,NA,NA,NA,2022-11-09,NA,NA
Private,2709434,2,BURY,NA,NA,NA,2022-11-03,NA,NA
Private,2710431,5,TAMESIDE,NA,NA,NA,2023-02-21,NA,NA
Private,2710459,2,WIGAN,NA,NA,NA,2023-01-24,NA,NA
Private,2710542,2,SALFORD,NA,NA,NA,2023-01-04,NA,NA
Private,2710735,4,STOCKPORT,NA,NA,NA,2022-11-23,NA,NA
Private,2711581,1,OLDHAM,NA,NA,NA,2023-01-27,NA,NA
Private,2711793,2,BOLTON,NA,NA,NA,2023-03-09,NA,NA
Private,2713287,1,ROCHDALE,NA,NA,NA,2023-01-27,NA,NA
Private,2717183,3,MANCHESTER,NA,NA,NA,2023-02-08,NA,NA
Private,2719474,3,MANCHESTER,NA,NA,NA,2023-02-24,NA,NA
