Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Private,SC021683,4,MANCHESTER,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Voluntary,SC035518,28,STOCKPORT,Seashell Trust ,Seashell Trust,SEASHELL TRUST,NA,NA,04216714
Local Authority,SC040511,6,SALFORD,Salford City Council,Salford City Council,NA,NA,NA,NA
Private,SC049189,3,ROCHDALE,The Partnership Of Care Today,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD,NA,NA,03576741
Private,SC064428,4,WIGAN,Keys Active 8 Care Ltd,Keys Active 8 Care Ltd,KEYS ACTIVE 8 CARE LIMITED,NA,NA,05107898
Private,SC064836,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC065189,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC066072,3,OLDHAM,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC066560,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC357133,3,STOCKPORT,Social Care Services Ltd,Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.,NA,NA,10413929
Private,SC361811,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC372117,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Voluntary,SC373044,4,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,SC390577,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Voluntary,SC397344,4,BOLTON,Birtenshaw ,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,SC400355,3,STOCKPORT,Social Care Services Ltd,Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.,NA,NA,10413929
Private,SC411030,3,ROCHDALE,Meadows Care Limited,Meadows Care Limited,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC411825,2,WIGAN,Inspire Childrens Services,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED,NA,NA,06968122
