"Relative Low Income (I
II
III
IV
V
VI)",,,,,,,,,,,
National - Regional - LA - OAs by Year,,,,,,,,,,,
Counting: Relative Low Income,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Relative Low Income,,,,,,,,,,
,,,,,,,,,,,
Year,,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
,National - Regional - LA - OAs,,,,,,,,,,
,Aberdeenshire,4853,5465,5666,6238,5511,6379,5618,5776,5886,5627
,Angus,3444,3627,3785,4102,3781,4244,3685,3754,3965,3820
,Argyll and Bute,2420,2541,2377,2677,2331,2699,2093,2094,2407,2285
,City of Edinburgh,9959,10529,10471,11975,10577,12216,11110,11083,12024,11578
,Clackmannanshire,2046,2236,2143,2432,2065,2445,2022,2170,2350,2208
,Dumfries and Galloway,5227,5549,5173,5816,5279,6259,5141,5220,5509,5339
,Dundee City,5349,5689,5835,6334,5602,6386,5478,5561,6011,5612
,East Ayrshire,4996,5374,5232,5696,5230,5948,5171,5148,5359,4972
,East Dunbartonshire,2048,2275,2210,2352,2057,2494,2022,2113,2194,2015
,East Lothian,3191,3301,3231,3438,3035,3651,3002,2986,3088,2892
,East Renfrewshire,2124,2251,2110,2409,2216,2557,2173,2184,2148,2099
,Falkirk,5587,5687,5538,6040,5710,6443,5480,5751,6232,5772
,Fife,13917,14844,14339,15686,14512,16580,13847,14373,14749,13748
,Glasgow City,27554,30026,29574,34597,32034,35746,31252,31532,33895,31979
,Highland,7083,7523,7298,7475,6959,8161,7099,7039,7223,6957
,Inverclyde,2556,2919,2659,2751,2489,2797,2364,2525,2790,2569
,Midlothian,2833,2877,2860,3180,2806,3286,2959,3039,3188,3000
,Moray,2805,2876,2982,3113,2863,3294,3081,3088,3197,3050
,Na h-Eileanan Siar,628,713,683,689,593,762,600,566,563,633
,North Ayrshire,5853,6071,6002,6518,5897,6948,6000,6096,6363,5574
,North Lanarkshire,14640,15603,14805,16178,14752,16884,14658,14356,14951,13873
,Orkney Islands,534,566,571,589,591,675,563,589,543,557
,Perth and Kinross,3876,4136,4017,4502,4161,4816,3956,4105,4178,3966
,Renfrewshire,4990,5360,5437,6256,5688,6584,5501,5711,6079,5829
,Scottish Borders,3402,3761,3549,3988,3604,4253,3476,3441,3637,3611
,Shetland Islands,377,443,427,495,428,510,634,439,485,472
,South Ayrshire,3662,3787,3780,3996,3814,4236,3470,3626,3781,3677
,South Lanarkshire,10469,10783,10600,11680,10448,12005,10344,10424,11110,10154
,Stirling,2530,2498,2442,2680,2380,2911,2359,2395,2489,2467
,West Dunbartonshire,3640,3801,3789,4255,3742,4255,3617,3605,3752,3459
,West Lothian,6199,6605,6490,7162,6725,7824,6721,6762,7131,6882
,Antrim and Newtownabbey,7317,7644,7367,7885,7233,6699,5344,5786,6627,7242
,Ards and North Down,7609,8019,7597,7776,7243,6719,5294,5571,6397,6726
,"Armagh City, Banbridge and Craigavon",13354,14227,13560,14294,13115,12778,10382,11130,12864,14008
,Belfast,25501,27106,25729,26961,24246,20558,16053,17518,20884,22055
,Causeway Coast and Glens,10358,10399,9894,10273,8771,8229,6499,6893,7845,8179
,Derry City and Strabane,14455,14845,14128,14563,12396,10536,8250,8675,9826,10176
,Fermanagh and Omagh,7698,7869,7557,7944,7177,7101,5853,6062,6711,7281
,Lisburn and Castlereagh,5621,5874,5658,6191,5628,5490,4284,4708,5314,5899
,Mid and East Antrim,7374,7704,7329,7862,7183,6894,5348,5685,6457,6983
,Mid Ulster,9892,10120,9417,9903,8948,8950,7374,7968,8694,9429
,"Newry, Mourne and Down",13255,13830,13006,13918,12615,12181,10242,10705,11835,12582
,Unknown,..,..,..,..,..,..,..,..,..,..
,Total,2502740,2676159,2650531,2993071,2785697,3188312,2785404,2898716,3232299,3383129
